recording_name,subject_id,dataset_name,age_months,mean_prop_looking,sd_prop_looking,n_trials_prop_looking,mean_prop_looking_diff,sd_prop_looking_diff,n_trials_prop_looking_diff,mean_number_fixations,sd_number_fixations,n_trials_number_fixations,mean_prop_shift_target_initial,sd_prop_shift_target_initial,n_trials_prop_shift_target_initial,mean_prop_shift_distractor_initial,sd_prop_shift_distractor_initial,n_trials_prop_shift_distractor_initial,mean_RT,sd_RT,n_trials_RT,total_aoi_switches,n_trials_total_aoi_switches,mean_duration_of_look,sd_duration_of_look,n_trials_duration_of_look,mean_first_look_dur,sd_first_look_dur,n_trials_first_look_dur,mean_longest_look,sd_longest_look,age_months_centred,data_split
137_pomper_saffran_2016_45,137,pomper_saffran_2016,45,0.8451178451178452,0.2682637614416443,3,NA,NA,NA,1,0,3,1,0,3,NA,NA,NA,NA,NA,NA,1,3,2944.4444444444443,1019.9854755683389,3,2944.4444444444443,1019.9854755683389,3,2944.4444444444443,1019.9854755683389,20,target
138_pomper_saffran_2016_43,138,pomper_saffran_2016,43,0.6851743997929205,0.3045078218881068,3,NA,NA,NA,1,0,3,0.6666666666666666,0.5773502691896257,3,NA,NA,NA,NA,NA,NA,2,3,2200,850.4900548115382,3,2200,850.4900548115382,3,2200,850.4900548115382,18,target
139_pomper_saffran_2016_45,139,pomper_saffran_2016,45,0.5451388888888888,0.5060756444153091,3,NA,NA,NA,1.5,0.7071067811865476,2,0.3333333333333333,0.5773502691896257,3,NA,NA,NA,NA,NA,NA,2,3,2200,1885.6180831641268,2,2316.666666666667,1720.6265008872658,2,2316.666666666667,1720.6265008872658,20,target
140_pomper_saffran_2016_46,140,pomper_saffran_2016,46,0.8761904761904762,NA,1,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,3066.666666666667,NA,1,3066.666666666667,NA,1,3066.666666666667,NA,21,target
141_pomper_saffran_2016_47,141,pomper_saffran_2016,47,0.60394652216698,0.13324662192743375,3,NA,NA,NA,1.3333333333333333,0.5773502691896257,3,0,0,3,NA,NA,NA,NA,NA,NA,4,3,1666.6666666666667,669.1619966628244,3,1666.6666666666667,669.1619966628244,3,1666.6666666666667,669.1619966628244,22,target
142_pomper_saffran_2016_46,142,pomper_saffran_2016,46,0.8235294117647058,0.24956709924231088,2,0.6415094339622642,0.02668327476175658,2,1.5,0.7071067811865476,2,0.5,0.7071067811865476,2,NA,NA,NA,NA,NA,NA,2,2,2316.666666666667,1720.6265008872658,2,2350,1673.4860488081624,2,2350,1673.4860488081624,21,target
143_pomper_saffran_2016_45,143,pomper_saffran_2016,45,1,0,2,NA,NA,NA,1,0,2,1,0,2,NA,NA,NA,NA,NA,NA,0,2,3533.3333333333335,0,2,3533.3333333333335,0,2,3533.3333333333335,0,20,target
144_pomper_saffran_2016_46,144,pomper_saffran_2016,46,1,NA,1,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,0,1,3533.3333333333335,NA,1,3533.3333333333335,NA,1,3533.3333333333335,NA,21,target
145_pomper_saffran_2016_47,145,pomper_saffran_2016,47,0.8946384803921569,0.09627239527973198,4,0.5943396226415094,0.040024912142634754,2,2,0,4,0.5,0.5773502691896257,4,NA,NA,NA,NA,NA,NA,3,4,1262.5,121.23973801552884,4,1775,532.2036647193823,4,1816.6666666666667,471.79719434582546,22,target
146_pomper_saffran_2016_43,146,pomper_saffran_2016,43,0.9094551282051282,0.10955023179943975,4,0.6603773584905661,0.04002491214263484,2,1.25,0.5,4,1,0,4,NA,NA,NA,NA,NA,NA,1,4,2366.666666666667,785.5170507614949,4,2325,855.2127740445,4,2408.3333333333335,718.7308773623644,18,target
