recording_name,trial_number,subject_id,dataset_name,age_months,target_word,media_name,initial_look,samples_target,samples_distractor,prop_looking,prop_looking_diff,number_fixations,correct_shift,remain_on_target,latency_to_switch,total_aoi_switches,duration_of_look,first_look_dur,longest_look_by_trial,age_months_centred,data_split
113_113_pomper_saffran_2016_42,6,113,pomper_saffran_2016,42,green,green,neither,67,24,0.7362637362637363,NA,1,NA,NA,NA,1,2233.3333333333335,2233.3333333333335,2233.3333333333335,17,all
113_113_pomper_saffran_2016_42,7,113,pomper_saffran_2016,42,white,white,target,51,53,0.49038461538461536,0.16037735849056606,1,NA,0,NA,1,1700.0000000000002,1700.0000000000002,1700.0000000000002,17,all
113_113_pomper_saffran_2016_42,8,113,pomper_saffran_2016,42,blue,blue,target,57,41,0.5816326530612245,NA,2,NA,0,NA,2,950,600,1300,17,all
114_114_pomper_saffran_2016_42,9,114,pomper_saffran_2016,42,green,green,target,47,53,0.47,NA,1,NA,0,NA,1,1300,266.6666666666667,1300,17,all
114_114_pomper_saffran_2016_42,10,114,pomper_saffran_2016,42,blue,blue,distractor,41,63,0.3942307692307692,NA,1,0,NA,NA,1,1366.6666666666667,1366.6666666666667,1366.6666666666667,17,all
114_114_pomper_saffran_2016_42,11,114,pomper_saffran_2016,42,black,black,target,103,0,1,0.8584905660377359,1,NA,1,NA,0,3433.3333333333335,3433.3333333333335,3433.3333333333335,17,all
114_114_pomper_saffran_2016_42,12,114,pomper_saffran_2016,42,brown,brown,target,83,17,0.83,0.6415094339622642,1,NA,0,NA,1,2466.666666666667,300,2466.666666666667,17,all
114_114_pomper_saffran_2016_42,13,114,pomper_saffran_2016,42,yellow,yellow,distractor,91,12,0.883495145631068,0.8584905660377359,1,1,NA,390,1,3033.3333333333335,3033.3333333333335,3033.3333333333335,17,all
114_114_pomper_saffran_2016_42,14,114,pomper_saffran_2016,42,green,green,distractor,91,12,0.883495145631068,NA,1,1,NA,390,1,3033.3333333333335,3033.3333333333335,3033.3333333333335,17,all
114_114_pomper_saffran_2016_42,15,114,pomper_saffran_2016,42,white,white,distractor,89,15,0.8557692307692307,0.679245283018868,1,1,NA,440,1,2966.666666666667,2966.666666666667,2966.666666666667,17,all
114_114_pomper_saffran_2016_42,16,114,pomper_saffran_2016,42,blue,blue,target,80,20,0.8,NA,1,NA,0,NA,1,2366.666666666667,300,2366.666666666667,17,all
115_115_pomper_saffran_2016_42,9,115,pomper_saffran_2016,42,orange,orange,distractor,89,15,0.8557692307692307,NA,1,1,NA,440,1,2966.666666666667,2966.666666666667,2966.666666666667,17,all
115_115_pomper_saffran_2016_42,10,115,pomper_saffran_2016,42,red,red,distractor,82,21,0.7961165048543689,NA,1,1,NA,615,1,2733.3333333333335,2733.3333333333335,2733.3333333333335,17,all
115_115_pomper_saffran_2016_42,11,115,pomper_saffran_2016,42,yellow,yellow,distractor,82,21,0.7961165048543689,0.339622641509434,1,1,NA,615,1,2733.3333333333335,2733.3333333333335,2733.3333333333335,17,all
115_115_pomper_saffran_2016_42,12,115,pomper_saffran_2016,42,white,white,distractor,66,32,0.673469387755102,0.4716981132075472,1,1,NA,340,1,2200,2200,2200,17,all
115_115_pomper_saffran_2016_42,13,115,pomper_saffran_2016,42,red,red,target,106,0,1,NA,1,NA,1,NA,0,3533.3333333333335,3533.3333333333335,3533.3333333333335,17,all
115_115_pomper_saffran_2016_42,14,115,pomper_saffran_2016,42,black,black,distractor,51,46,0.5257731958762887,0.2830188679245283,1,1,NA,815,2,1700.0000000000002,1700.0000000000002,1700.0000000000002,17,all
115_115_pomper_saffran_2016_42,15,115,pomper_saffran_2016,42,orange,orange,target,67,28,0.7052631578947368,NA,1,NA,0,NA,1,2033.3333333333335,2033.3333333333335,2033.3333333333335,17,all
115_115_pomper_saffran_2016_42,16,115,pomper_saffran_2016,42,brown,brown,target,85,16,0.8415841584158416,0.5,1,NA,0,NA,1,2466.666666666667,366.6666666666667,2466.666666666667,17,all
116_116_pomper_saffran_2016_45,1,116,pomper_saffran_2016,45,red,red,target,91,9,0.91,NA,1,NA,0,NA,0,2900,2900,2900,20,all
116_116_pomper_saffran_2016_45,2,116,pomper_saffran_2016,45,orange,orange,distractor,96,1,0.9896907216494846,NA,1,1,NA,115,0,3200,3200,3200,20,all
116_116_pomper_saffran_2016_45,3,116,pomper_saffran_2016,45,yellow,yellow,distractor,101,3,0.9711538461538461,0.37735849056603776,1,1,NA,140,0,3366.666666666667,3366.666666666667,3366.666666666667,20,all
116_116_pomper_saffran_2016_45,4,116,pomper_saffran_2016,45,white,white,distractor,101,0,1,0.6415094339622642,1,1,NA,140,0,3366.666666666667,3366.666666666667,3366.666666666667,20,all
116_116_pomper_saffran_2016_45,5,116,pomper_saffran_2016,45,black,black,distractor,43,61,0.41346153846153844,0.37735849056603776,1,1,NA,15,1,1433.3333333333335,1433.3333333333335,1433.3333333333335,20,all
116_116_pomper_saffran_2016_45,6,116,pomper_saffran_2016,45,red,red,target,106,0,1,NA,1,NA,1,NA,0,3533.3333333333335,3533.3333333333335,3533.3333333333335,20,all
116_116_pomper_saffran_2016_45,7,116,pomper_saffran_2016,45,brown,brown,distractor,61,33,0.648936170212766,0.5754716981132075,2,1,NA,490,3,1016.6666666666667,1533.3333333333335,1533.3333333333335,20,all
116_116_pomper_saffran_2016_45,8,116,pomper_saffran_2016,45,orange,orange,target,67,35,0.6568627450980392,NA,1,NA,1,NA,1,2233.3333333333335,2233.3333333333335,2233.3333333333335,20,all
117_117_pomper_saffran_2016_43,9,117,pomper_saffran_2016,43,blue,blue,distractor,99,4,0.9611650485436893,NA,1,1,NA,190,0,3300.0000000000005,3300.0000000000005,3300.0000000000005,18,all
117_117_pomper_saffran_2016_43,10,117,pomper_saffran_2016,43,green,green,distractor,102,1,0.9902912621359223,NA,1,1,NA,115,0,3400.0000000000005,3400.0000000000005,3400.0000000000005,18,all
117_117_pomper_saffran_2016_43,11,117,pomper_saffran_2016,43,black,black,distractor,93,11,0.8942307692307693,0.8773584905660378,1,1,NA,340,0,3100,3100,3100,18,all
117_117_pomper_saffran_2016_43,12,117,pomper_saffran_2016,43,brown,brown,distractor,99,4,0.9611650485436893,0.8867924528301887,1,1,NA,190,0,3300.0000000000005,3300.0000000000005,3300.0000000000005,18,all
117_117_pomper_saffran_2016_43,13,117,pomper_saffran_2016,43,green,green,target,86,17,0.8349514563106796,NA,1,NA,0,NA,1,2866.666666666667,2866.666666666667,2866.666666666667,18,all
117_117_pomper_saffran_2016_43,14,117,pomper_saffran_2016,43,yellow,yellow,target,106,0,1,0.8962264150943396,1,NA,1,NA,0,3533.3333333333335,3533.3333333333335,3533.3333333333335,18,all
117_117_pomper_saffran_2016_43,15,117,pomper_saffran_2016,43,blue,blue,target,106,0,1,NA,1,NA,1,NA,0,3533.3333333333335,3533.3333333333335,3533.3333333333335,18,all
117_117_pomper_saffran_2016_43,16,117,pomper_saffran_2016,43,white,white,target,68,5,0.9315068493150684,0.6037735849056604,1,NA,1,NA,0,2266.666666666667,2266.666666666667,2266.666666666667,18,all
118_118_pomper_saffran_2016_42,9,118,pomper_saffran_2016,42,red,red,target,79,19,0.8061224489795918,NA,2,NA,0,NA,2,1316.6666666666667,666.6666666666667,1966.6666666666667,17,all
118_118_pomper_saffran_2016_42,10,118,pomper_saffran_2016,42,orange,orange,distractor,83,17,0.83,NA,2,1,NA,15,2,1383.3333333333335,1633.3333333333335,1633.3333333333335,17,all
118_118_pomper_saffran_2016_42,11,118,pomper_saffran_2016,42,yellow,yellow,neither,65,31,0.6770833333333334,0.6132075471698113,1,NA,NA,NA,1,1833.3333333333335,333.33333333333337,1833.3333333333335,17,all
118_118_pomper_saffran_2016_42,12,118,pomper_saffran_2016,42,white,white,target,42,55,0.4329896907216495,0.39622641509433965,1,NA,0,NA,1,1033.3333333333335,1033.3333333333335,1033.3333333333335,17,all
118_118_pomper_saffran_2016_42,13,118,pomper_saffran_2016,42,black,black,distractor,106,0,1,0.7075471698113207,1,1,NA,15,0,3533.3333333333335,3533.3333333333335,3533.3333333333335,17,all
118_118_pomper_saffran_2016_42,14,118,pomper_saffran_2016,42,red,red,distractor,93,9,0.9117647058823529,NA,1,1,NA,340,0,3100,3100,3100,17,all
118_118_pomper_saffran_2016_42,15,118,pomper_saffran_2016,42,brown,brown,target,106,0,1,0.4811320754716981,1,NA,1,NA,0,3533.3333333333335,3533.3333333333335,3533.3333333333335,17,all
118_118_pomper_saffran_2016_42,16,118,pomper_saffran_2016,42,orange,orange,distractor,36,20,0.6428571428571429,NA,2,1,NA,15,2,600,766.6666666666667,766.6666666666667,17,all
119_119_pomper_saffran_2016_43,2,119,pomper_saffran_2016,43,black,black,target,105,0,1,NA,1,NA,1,NA,0,3500.0000000000005,3500.0000000000005,3500.0000000000005,18,all
119_119_pomper_saffran_2016_43,3,119,pomper_saffran_2016,43,red,red,distractor,50,50,0.5,0.4056603773584906,1,1,NA,290,1,1666.6666666666667,1666.6666666666667,1666.6666666666667,18,all
119_119_pomper_saffran_2016_43,4,119,pomper_saffran_2016,43,blue,blue,distractor,94,9,0.912621359223301,NA,1,1,NA,315,0,3133.3333333333335,3133.3333333333335,3133.3333333333335,18,all
119_119_pomper_saffran_2016_43,5,119,pomper_saffran_2016,43,brown,brown,distractor,90,13,0.8737864077669902,NA,1,1,NA,415,1,3000,3000,3000,18,all
119_119_pomper_saffran_2016_43,6,119,pomper_saffran_2016,43,blue,blue,target,106,0,1,NA,1,NA,1,NA,0,3533.3333333333335,3533.3333333333335,3533.3333333333335,18,all
119_119_pomper_saffran_2016_43,7,119,pomper_saffran_2016,43,black,black,target,106,0,1,NA,1,NA,1,NA,0,3533.3333333333335,3533.3333333333335,3533.3333333333335,18,all
119_119_pomper_saffran_2016_43,8,119,pomper_saffran_2016,43,green,green,distractor,97,7,0.9326923076923077,0.44339622641509435,1,1,NA,240,0,3233.3333333333335,3233.3333333333335,3233.3333333333335,18,all
