recording_name,trial_number,subject_id,dataset_name,age_months,target_word,media_name,initial_look,samples_target,samples_distractor,prop_looking,prop_looking_diff,number_fixations,correct_shift,remain_on_target,latency_to_switch,total_aoi_switches,duration_of_look,first_look_dur,longest_look_by_trial,age_months_centred,data_split
123_pomper_saffran_2016_43,10,123,pomper_saffran_2016,43,white,white,target,74,27,0.7326732673267327,0.5188679245283019,1,NA,0,NA,1,2166.666666666667,300,2166.666666666667,18,target
123_pomper_saffran_2016_43,11,123,pomper_saffran_2016,43,green,green,target,68,32,0.68,NA,1,NA,1,NA,1,2100,2100,2100,18,target
123_pomper_saffran_2016_43,13,123,pomper_saffran_2016,43,brown,brown,target,82,19,0.8118811881188119,0.5188679245283019,2,NA,0,NA,2,1366.6666666666667,1566.6666666666667,1566.6666666666667,18,target
123_pomper_saffran_2016_43,14,123,pomper_saffran_2016,43,blue,blue,target,63,35,0.6428571428571429,NA,1,NA,0,NA,1,2100,2100,2100,18,target
123_pomper_saffran_2016_43,16,123,pomper_saffran_2016,43,black,black,target,106,0,1,NA,1,NA,1,NA,0,3533.3333333333335,3533.3333333333335,3533.3333333333335,18,target
124_pomper_saffran_2016_42,4,124,pomper_saffran_2016,42,orange,orange,target,48,42,0.5333333333333333,NA,2,NA,0,NA,3,766.6666666666667,533.3333333333334,1000.0000000000001,17,target
124_pomper_saffran_2016_42,7,124,pomper_saffran_2016,42,green,green,target,93,0,1,NA,2,NA,1,NA,0,1550,1600,1600,17,target
125_pomper_saffran_2016_43,9,125,pomper_saffran_2016,43,white,white,target,106,0,1,NA,1,NA,1,NA,0,3533.3333333333335,3533.3333333333335,3533.3333333333335,18,target
125_pomper_saffran_2016_43,11,125,pomper_saffran_2016,43,red,red,target,106,0,1,NA,1,NA,1,NA,0,3533.3333333333335,3533.3333333333335,3533.3333333333335,18,target
125_pomper_saffran_2016_43,15,125,pomper_saffran_2016,43,black,black,target,106,0,1,NA,1,NA,1,NA,0,3533.3333333333335,3533.3333333333335,3533.3333333333335,18,target
126_pomper_saffran_2016_44,3,126,pomper_saffran_2016,44,green,green,target,85,13,0.8673469387755102,NA,2,NA,0,NA,2,1416.6666666666667,1300,1533.3333333333335,19,target
126_pomper_saffran_2016_44,5,126,pomper_saffran_2016,44,brown,brown,target,89,12,0.8811881188118812,NA,1,NA,0,NA,1,2600,366.6666666666667,2600,19,target
126_pomper_saffran_2016_44,6,126,pomper_saffran_2016,44,blue,blue,target,106,0,1,NA,1,NA,1,NA,0,3533.3333333333335,3533.3333333333335,3533.3333333333335,19,target
126_pomper_saffran_2016_44,8,126,pomper_saffran_2016,44,black,black,target,64,39,0.6213592233009708,NA,1,NA,1,NA,1,2133.3333333333335,2133.3333333333335,2133.3333333333335,19,target
127_pomper_saffran_2016_41,10,127,pomper_saffran_2016,41,red,red,target,74,26,0.74,NA,2,NA,0,NA,2,1233.3333333333335,533.3333333333334,1933.3333333333335,16,target
128_pomper_saffran_2016_47,9,128,pomper_saffran_2016,47,brown,brown,target,66,33,0.6666666666666666,0.17924528301886788,2,NA,0,NA,2,1100,666.6666666666667,1533.3333333333335,22,target
128_pomper_saffran_2016_47,10,128,pomper_saffran_2016,47,yellow,yellow,target,74,25,0.7474747474747475,NA,2,NA,0,NA,2,1233.3333333333335,1466.6666666666667,1466.6666666666667,22,target
128_pomper_saffran_2016_47,12,128,pomper_saffran_2016,47,orange,orange,target,106,0,1,NA,1,NA,1,NA,0,3533.3333333333335,3533.3333333333335,3533.3333333333335,22,target
128_pomper_saffran_2016_47,13,128,pomper_saffran_2016,47,white,white,target,53,47,0.53,0.18867924528301888,1,NA,0,NA,1,1766.6666666666667,1766.6666666666667,1766.6666666666667,22,target
128_pomper_saffran_2016_47,15,128,pomper_saffran_2016,47,yellow,yellow,target,76,24,0.76,NA,1,NA,0,NA,1,2300,233.33333333333334,2300,22,target
129_pomper_saffran_2016_45,3,129,pomper_saffran_2016,45,yellow,yellow,target,73,25,0.7448979591836735,NA,1,NA,0,NA,1,2300,2300,2300,20,target
129_pomper_saffran_2016_45,4,129,pomper_saffran_2016,45,white,white,target,78,0,1,0.48113207547169806,2,NA,1,NA,0,1300,1633.3333333333335,1633.3333333333335,20,target
129_pomper_saffran_2016_45,7,129,pomper_saffran_2016,45,orange,orange,target,59,0,1,NA,1,NA,1,NA,0,1966.6666666666667,1966.6666666666667,1966.6666666666667,20,target
129_pomper_saffran_2016_45,8,129,pomper_saffran_2016,45,brown,brown,target,39,27,0.5909090909090909,0.36792452830188677,1,NA,0,NA,1,1300,1300,1300,20,target
130_pomper_saffran_2016_44,12,130,pomper_saffran_2016,44,brown,brown,target,106,0,1,NA,1,NA,1,NA,0,3533.3333333333335,3533.3333333333335,3533.3333333333335,19,target
130_pomper_saffran_2016_44,13,130,pomper_saffran_2016,44,yellow,yellow,target,106,0,1,NA,1,NA,1,NA,0,3533.3333333333335,3533.3333333333335,3533.3333333333335,19,target
130_pomper_saffran_2016_44,14,130,pomper_saffran_2016,44,green,green,target,75,27,0.7352941176470589,NA,2,NA,0,NA,2,1250,966.6666666666667,1533.3333333333335,19,target
130_pomper_saffran_2016_44,16,130,pomper_saffran_2016,44,blue,blue,target,105,0,1,NA,1,NA,1,NA,0,3500.0000000000005,3500.0000000000005,3500.0000000000005,19,target
131_pomper_saffran_2016_42,2,131,pomper_saffran_2016,42,green,green,target,106,0,1,NA,1,NA,1,NA,0,3533.3333333333335,3533.3333333333335,3533.3333333333335,17,target
131_pomper_saffran_2016_42,3,131,pomper_saffran_2016,42,black,black,target,106,0,1,1,1,NA,1,NA,0,3533.3333333333335,3533.3333333333335,3533.3333333333335,17,target
131_pomper_saffran_2016_42,6,131,pomper_saffran_2016,42,yellow,yellow,target,106,0,1,1,1,NA,1,NA,0,3533.3333333333335,3533.3333333333335,3533.3333333333335,17,target
131_pomper_saffran_2016_42,8,131,pomper_saffran_2016,42,white,white,target,95,7,0.9313725490196079,NA,1,NA,1,NA,0,3166.666666666667,3166.666666666667,3166.666666666667,17,target
132_pomper_saffran_2016_41,10,132,pomper_saffran_2016,41,orange,orange,target,106,0,1,NA,1,NA,1,NA,0,3533.3333333333335,3533.3333333333335,3533.3333333333335,16,target
132_pomper_saffran_2016_41,11,132,pomper_saffran_2016,41,yellow,yellow,target,106,0,1,NA,1,NA,1,NA,0,3533.3333333333335,3533.3333333333335,3533.3333333333335,16,target
132_pomper_saffran_2016_41,12,132,pomper_saffran_2016,41,white,white,target,75,25,0.75,NA,1,NA,0,NA,1,2366.666666666667,2366.666666666667,2366.666666666667,16,target
133_pomper_saffran_2016_45,4,133,pomper_saffran_2016,45,brown,brown,target,84,18,0.8235294117647058,NA,1,NA,0,NA,1,2566.666666666667,233.33333333333334,2566.666666666667,20,target
133_pomper_saffran_2016_45,6,133,pomper_saffran_2016,45,green,green,target,78,18,0.8125,NA,1,NA,1,NA,1,2400,2400,2400,20,target
134_pomper_saffran_2016_44,13,134,pomper_saffran_2016,44,red,red,target,55,49,0.5288461538461539,NA,1,NA,0,NA,1,1833.3333333333335,1833.3333333333335,1833.3333333333335,19,target
