recording_name,subject_id,dataset_name,age_months,exp_to_target_lang,fre_exp,eng_exp,mean_prop_looking,sd_prop_looking,n_trials_prop_looking,mean_prop_looking_diff,sd_prop_looking_diff,n_trials_prop_looking_diff,mean_number_fixations,sd_number_fixations,n_trials_number_fixations,mean_prop_shift_target_initial,sd_prop_shift_target_initial,n_trials_prop_shift_target_initial,mean_prop_shift_distractor_initial,sd_prop_shift_distractor_initial,n_trials_prop_shift_distractor_initial,mean_RT,sd_RT,n_trials_RT,total_aoi_switches,n_trials_total_aoi_switches,mean_duration_of_look,sd_duration_of_look,n_trials_duration_of_look,mean_first_look_dur,sd_first_look_dur,n_trials_first_look_dur,mean_longest_look,sd_longest_look,mean_peak_pupil_size_difference,sd_peak_pupil_size_difference,n_trials_peak_pupil_size_difference,mean_mean_pupil_size_difference,sd_mean_pupil_size_difference,n_trials_mean_pupil_size_difference,mean_peak_pupil_latency,sd_peak_pupil_latency,n_trials_peak_pupil_latency,age_months_centred,data_split
CompMix36_S01_88272000_F1,88272000,CompMix-36,46,65,65,35,0.7236286919831224,0.47868914723949985,3,NA,NA,NA,1.3333333333333333,0.5773502691896257,3,0.6666666666666666,0.5773502691896257,3,NA,NA,NA,NA,NA,NA,1,3,1388.888888888889,1197.7216024757327,3,1711.1111111111113,1269.5508100345016,3,1711.1111111111113,1269.5508100345016,-0.056666666666666345,0.19015344680897397,3,-0.03552777777777768,0.12723950331443343,3,266.3333333333333,76.48747174102,3,21,target
CompMix36_S04_82812000_F1,82812000,CompMix-36,39,70,70,30,0.7722545889655821,0.1824919875573573,5,0.6540880503144655,0.12399138853351152,4,1.8,0.8366600265340756,5,0.2,0.44721359549995793,5,NA,NA,NA,NA,NA,NA,7,5,1225,595.9353059593708,5,1093.3333333333335,817.397632054858,5,1643.3333333333335,474.57583400571747,0.04200000000000008,0.06088924371348362,5,0.03245000000000005,0.05321065317312981,5,406.4,139.48942612255595,5,14,target
CompMix36_S21_503484000_F1,503484000,CompMix-36,37,50,50,50,0.8629969418960245,0.11877575058545646,3,0.46226415094339623,0.13786358626907527,2,3,2,3,0.3333333333333333,0.5773502691896257,3,NA,NA,NA,NA,NA,NA,3,3,756.2962962962963,434.8780634168068,3,861.1111111111111,346.94433324435545,3,972.2222222222223,254.58753860865778,0.09666666666666639,0.06658328118479405,3,0.07386111111111093,0.060555147806986016,3,227.66666666666666,134.8937853769896,3,12,target
CompMix36_S25_93468000_F1,93468000,CompMix-36,37,90,90,10,0.8318548387096774,0.23205029162344346,4,0.6698113207547169,0.18233571087200287,2,2,0,4,0.75,0.5,4,NA,NA,NA,NA,NA,NA,3,4,868.7500000000001,235.24760399456827,4,1083.3333333333335,533.8539126015655,4,1162.5,398.463484083734,0.1612499999999999,0.1143368561167688,4,0.11076190476190484,0.07298141958012644,4,366.5,300.5555966317491,4,12,target
CompMix36_S13_536412000_F2,536412000,CompMix-36,40.43333333333333,70,70,40,0.782312925170068,NA,1,NA,NA,NA,1,NA,1,0,NA,1,NA,NA,NA,NA,NA,NA,1,1,1733.3333333333335,NA,1,1733.3333333333335,NA,1,1733.3333333333335,NA,0.009999999999999787,NA,1,0.026083333333333236,NA,1,550,NA,1,15.43333333333333,target
CompMix36_S17_94332000_F2,94332000,CompMix-36,38,40,40,60,0.7676834245959492,0.25691452120006586,7,0.5576519916142558,0.3222843454870519,6,2.2857142857142856,0.9511897312113419,7,0.7142857142857143,0.4879500364742666,7,NA,NA,NA,NA,NA,NA,8,7,830.1587301587302,297.2370564463114,7,942.8571428571429,462.967195747846,7,1023.8095238095239,359.6367950288518,0.14428571428571438,0.15519956430964862,7,0.1056224489795918,0.10198540555239356,7,413.85714285714283,134.587553376267,7,13,target
CompMix36_S24_545388000_F2,545388000,CompMix-36,41,40,40,60,0.8134171907756814,0.04417464885892133,3,NA,NA,NA,1.3333333333333333,0.5773502691896257,3,0.6666666666666666,0.5773502691896257,3,NA,NA,NA,NA,NA,NA,4,3,1794.4444444444446,626.7937223444172,3,1561.1111111111113,1026.6360024280668,3,2027.777777777778,241.7145546423011,0.05333333333333353,0.09928914005737634,3,-0.03788888888888886,0.03418336312908375,3,255.33333333333334,327.48485970092315,3,16,target
CompMix36_S30_109320000_F2,109320000,CompMix-36,40.2,60,60,40,0.560857400905474,0.27148320356048095,6,0.14937106918238993,0.18751387134498826,4,1,0,6,0.3333333333333333,0.5163977794943222,6,NA,NA,NA,NA,NA,NA,5,6,1427.7777777777778,723.3922147053397,6,1427.7777777777778,723.3922147053397,6,1427.7777777777778,723.3922147053397,0.07416666666666687,0.04017669307778665,6,0.04797222222222223,0.04579806724047383,6,372,134.77388471065157,6,15.200000000000003,target
CompMix36_S03_86508000_E1,86508000,CompMix-36,43.2,30,70,30,0.6815948665517172,0.2861693045019532,4,0.35534591194968557,0.040024912142634754,2,2.25,1.5,4,0.25,0.5,4,NA,NA,NA,NA,NA,NA,4,4,869.4444444444446,336.7876570272817,4,708.3333333333334,501.9406782125199,4,1233.3333333333335,222.36106773543892,0.07374999999999987,0.2736291590212319,4,0.06638433908045971,0.2803551513442764,4,283,69.17610377387074,4,18.200000000000003,target
CompMix36_S05_96120000_E1,96120000,CompMix-36,46,40,60,40,0.6730701301524332,0.12649245777826668,3,NA,NA,NA,2,1,3,0,0,3,NA,NA,NA,NA,NA,NA,5,3,863.888888888889,516.6890676147432,3,872.2222222222223,453.7906190369364,3,966.6666666666667,434.29380735984614,0.25000000000000017,0.1886133611386,3,0.11316666666666671,0.056261542025713505,3,466.3333333333333,229.23859477263713,3,21,target
CompMix36_S06_93168000_E1,93168000,CompMix-36,44.333333333333336,50,50,50,0.8252413572086689,0.27219696476271676,4,0.4276729559748428,0.008894424920585502,2,1.25,0.5,4,0.75,0.5,4,NA,NA,NA,NA,NA,NA,2,4,1810.4166666666667,919.7265847743778,4,1737.5,1053.8619454178995,4,1883.3333333333335,789.7491397296383,0.09124999999999994,0.06687986742411106,4,0.05657122331691289,0.07962563177850766,4,266.5,231.72469297278903,4,19.333333333333336,target
CompMix36_S26_83640000_E1,83640000,CompMix-36,44,40,60,40,1,0,2,NA,NA,NA,1.5,0.7071067811865476,2,1,0,2,NA,NA,NA,NA,NA,NA,0,2,1716.6666666666667,1319.9326582148885,2,1683.3333333333335,1367.073110293992,2,1750,1272.7922061357854,0.18000000000000016,0.10606601717798175,2,0.15445833333333336,0.0877401664322306,2,341.5,36.062445840513924,2,19,target
CompMix36_S29_98280000_E1,98280000,CompMix-36,40.43333333333333,20,80,20,0.9937106918238994,NA,1,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,0,1,2633.3333333333335,NA,1,2633.3333333333335,NA,1,2633.3333333333335,NA,-0.33000000000000007,NA,1,-0.31725000000000003,NA,1,200,NA,1,15.43333333333333,target
CompMix36_S14_94020000_E2,94020000,CompMix-36,38,55,45,55,0.6410373066424022,0.35987606246526355,3,NA,NA,NA,1.6666666666666667,0.5773502691896257,3,0.6666666666666666,0.5773502691896257,3,NA,NA,NA,NA,NA,NA,3,3,1080.5555555555557,653.7463263829934,3,1038.888888888889,673.5753140545635,3,1122.2222222222224,635.5953755979361,0.0783333333333333,0.19813715788143638,3,0.01636111111111127,0.15153293860240913,3,361,250.82463993794548,3,13,target
