recording_name,trial_number,subject_id,dataset_name,age_months,target_word,yoked_target,yoked_distractor,yoked_pair,media_name,initial_look,samples_target,samples_distractor,prop_looking,prop_looking_diff,number_fixations,correct_shift,remain_on_target,latency_to_switch,total_aoi_switches,duration_of_look,first_look_dur,longest_look_by_trial,age_months_centred,data_split
120_120_pomper_saffran_2016_42,15,120,pomper_saffran_2016,42,green,green,red,green-red,green,distractor,32,67,0.32323232323232326,NA,1,1,NA,640,2,1066.6666666666667,1066.6666666666667,1066.6666666666667,17,distractor
120_120_pomper_saffran_2016_42,16,120,pomper_saffran_2016,42,yellow,yellow,black,black-yellow,yellow,distractor,22,55,0.2857142857142857,NA,1,0,NA,NA,1,733.3333333333334,733.3333333333334,733.3333333333334,17,distractor
121_121_pomper_saffran_2016_42,1,121,pomper_saffran_2016,42,green,green,red,green-red,green,distractor,101,3,0.9711538461538461,NA,1,1,NA,140,0,3366.666666666667,3366.666666666667,3366.666666666667,17,distractor
121_121_pomper_saffran_2016_42,3,121,pomper_saffran_2016,42,black,black,yellow,black-yellow,black,distractor,93,11,0.8942307692307693,NA,1,1,NA,340,1,3100,3100,3100,17,distractor
121_121_pomper_saffran_2016_42,4,121,pomper_saffran_2016,42,brown,brown,white,brown-white,brown,distractor,102,1,0.9902912621359223,NA,1,1,NA,115,0,3400.0000000000005,3400.0000000000005,3400.0000000000005,17,distractor
121_121_pomper_saffran_2016_42,6,121,pomper_saffran_2016,42,green,green,red,green-red,green,distractor,95,8,0.9223300970873787,NA,1,1,NA,290,1,3166.666666666667,3166.666666666667,3166.666666666667,17,distractor
122_122_pomper_saffran_2016_44,1,122,pomper_saffran_2016,44,brown,brown,white,brown-white,brown,distractor,69,23,0.75,NA,2,1,NA,240,1,1150,666.6666666666667,1633.3333333333335,19,distractor
122_122_pomper_saffran_2016_44,3,122,pomper_saffran_2016,44,green,green,red,green-red,green,distractor,56,43,0.5656565656565656,NA,1,1,NA,715,2,1866.6666666666667,1866.6666666666667,1866.6666666666667,19,distractor
122_122_pomper_saffran_2016_44,6,122,pomper_saffran_2016,44,orange,orange,blue,blue-orange,orange,distractor,38,64,0.37254901960784315,NA,1,1,NA,1040,2,1266.6666666666667,1266.6666666666667,1266.6666666666667,19,distractor
122_122_pomper_saffran_2016_44,7,122,pomper_saffran_2016,44,yellow,yellow,black,black-yellow,yellow,distractor,82,20,0.803921568627451,NA,1,1,NA,615,1,2733.3333333333335,2733.3333333333335,2733.3333333333335,19,distractor
123_123_pomper_saffran_2016_43,9,123,pomper_saffran_2016,43,black,black,yellow,black-yellow,black,distractor,83,20,0.8058252427184466,NA,1,1,NA,590,1,2766.666666666667,2766.666666666667,2766.666666666667,18,distractor
123_123_pomper_saffran_2016_43,12,123,pomper_saffran_2016,43,blue,blue,orange,blue-orange,blue,distractor,74,29,0.7184466019417476,NA,1,1,NA,815,1,2466.666666666667,2466.666666666667,2466.666666666667,18,distractor
123_123_pomper_saffran_2016_43,15,123,pomper_saffran_2016,43,red,red,green,green-red,red,distractor,79,24,0.7669902912621359,NA,1,1,NA,690,1,2633.3333333333335,2633.3333333333335,2633.3333333333335,18,distractor
124_124_pomper_saffran_2016_42,2,124,pomper_saffran_2016,42,brown,brown,white,brown-white,brown,distractor,59,37,0.6145833333333334,NA,2,1,NA,190,2,983.3333333333335,1133.3333333333335,1133.3333333333335,17,distractor
124_124_pomper_saffran_2016_42,3,124,pomper_saffran_2016,42,red,red,green,green-red,red,distractor,62,7,0.8985507246376812,NA,2,1,NA,240,0,1033.3333333333335,1333.3333333333335,1333.3333333333335,17,distractor
124_124_pomper_saffran_2016_42,8,124,pomper_saffran_2016,42,yellow,yellow,black,black-yellow,yellow,distractor,94,9,0.912621359223301,NA,1,1,NA,315,1,3133.3333333333335,3133.3333333333335,3133.3333333333335,17,distractor
