recording_name,subject_id,dataset_name,age_months,mean_prop_looking,sd_prop_looking,n_trials_prop_looking,mean_prop_looking_diff,sd_prop_looking_diff,n_trials_prop_looking_diff,mean_number_fixations,sd_number_fixations,n_trials_number_fixations,mean_prop_shift_target_initial,sd_prop_shift_target_initial,n_trials_prop_shift_target_initial,mean_prop_shift_distractor_initial,sd_prop_shift_distractor_initial,n_trials_prop_shift_distractor_initial,mean_RT,sd_RT,n_trials_RT,mean_aoi_switches,n_trials_mean_aoi_switches,mean_duration_of_look,sd_duration_of_look,n_trials_duration_of_look,mean_first_look_dur,sd_first_look_dur,n_trials_first_look_dur,mean_longest_look,sd_longest_look,age_months_centred,data_split
51_51_ronfard_2021_21,51,ronfard_2021,21,0.6947565330350798,0.26058248139048784,17,0.36542145593869735,0.08536788392973746,6,1,0,16,0.42857142857142855,0.5345224838248488,7,1,0,10,497.5,185.984617046082,10,0.7058823529411765,17,1316.6666666666667,444.55554167013787,16,1260.7843137254902,488.22741941834386,17,1316.6666666666667,444.55554167013787,-4,all
53_53_ronfard_2021_23,53,ronfard_2021,23,0.6845247913532488,0.35232387379394203,16,0.3218390804597701,0.3858470448006441,8,1,0,13,0.5,0.5477225575051661,6,1,0,9,592.7777777777778,488.6915637131916,9,0.25,16,1461.5384615384617,462.45042854385906,13,1297.7777777777778,608.3371384964706,15,1461.5384615384617,462.45042854385906,-2,all
55_55_ronfard_2021_20,55,ronfard_2021,20,0.8640512068591477,0.17801851165411917,26,0.6900143678160919,0.16652666321170626,8,1.0769230769230769,0.271746488194703,26,0.5833333333333334,0.5149286505444373,12,1,0,14,290,290.3909831191786,14,0.38461538461538464,26,1480.1282051282053,463.3218039517394,26,1498.7179487179487,437.21144330157483,26,1498.7179487179487,437.21144330157483,-5,all
57_57_ronfard_2021_18,57,ronfard_2021,18,0.6329118219743219,0.24721988017523774,16,0.3025037868662568,0.22886759674229862,6,1.0666666666666667,0.2581988897471611,15,0.16666666666666666,0.408248290463863,6,1,0,10,600,344.2382895611701,10,0.875,16,1142.2222222222224,432.31871449137026,15,1097.7777777777778,490.9444520782927,15,1157.7777777777778,420.5941879050053,-7,all
58_58_ronfard_2021_21,58,ronfard_2021,21,0.877244008714597,0.17096727616926338,17,0.747844827586207,0.06639912200173158,8,1,0,17,1,0,9,1,0,8,386.875,158.9235552980471,8,0.4117647058823529,17,1639.2156862745098,390.90978181204406,17,1639.2156862745098,390.90978181204406,17,1639.2156862745098,390.90978181204406,-4,all
59_59_ronfard_2021_18,59,ronfard_2021,18,0.7321736207043361,0.23997602820353875,16,0.4475574712643678,0.2415051181252012,8,1,0,15,0.4444444444444444,0.5270462766947299,9,1,0,7,372.14285714285717,82.55589736945623,7,0.625,16,1377.7777777777778,436.92044001107445,15,1312.5,496.3384448658515,16,1377.7777777777778,436.92044001107445,-7,all
60_60_ronfard_2021_22,60,ronfard_2021,22,0.7838963813963814,0.21768307161521427,10,0.5617816091954023,0.3061700363545001,6,1.1,0.31622776601683794,10,0.8,0.44721359549995793,5,1,0,5,540,231.8404623873926,5,0.7,10,1425,531.7830477521292,10,1423.3333333333335,535.1935152497946,10,1426.6666666666667,528.4031382791078,-3,all
61_61_ronfard_2021_18,61,ronfard_2021,18,0.735908156691785,0.19994573948101108,30,0.43911637931034486,0.2509700541533655,8,1,0,30,0.4444444444444444,0.5113099925649136,18,1,0,12,465,198.86038958388508,12,0.7333333333333333,30,1274.4444444444446,425.4979803593792,30,1235.5555555555557,485.9665356983403,30,1274.4444444444446,425.4979803593792,-7,all
62_62_ronfard_2021_18,62,ronfard_2021,18,0.6283023717634567,0.19612960857694942,16,0.2938218390804598,0.14265656924902165,6,1,0,15,0,0,5,1,0,11,496.8181818181818,199.7157070346838,11,0.9375,16,1184.4444444444446,286.9839513976145,15,1129.1666666666667,354.6255197518352,16,1184.4444444444446,286.9839513976145,-7,all
108_108_pomper_saffran_2016_46,108,pomper_saffran_2016,46,0.7802203087736178,0.17064893845204496,8,NA,NA,NA,1.125,0.3535533905932738,8,0.5,0.5773502691896257,4,0.75,0.5,4,256.6666666666667,104.08329997330664,3,0.625,8,2379.166666666667,711.7912793767745,8,2325,822.259758902934,8,2433.3333333333335,619.7797868009121,21,all
109_109_pomper_saffran_2016_43,109,pomper_saffran_2016,43,0.6811347217195947,0.19871561197925347,8,NA,NA,NA,1.125,0.3535533905932738,8,0.3333333333333333,0.5163977794943222,6,1,0,2,202.5,17.67766952966369,2,0.875,8,1995.8333333333335,757.0698527248077,8,1887.5000000000002,907.1037986841978,8,2104.166666666667,715.0174823037546,18,all
110_110_pomper_saffran_2016_47,110,pomper_saffran_2016,47,0.8205693689669719,0.24901303157325738,7,NA,NA,NA,1.1428571428571428,0.3779644730092272,7,0.5,0.5773502691896257,4,1,0,2,390,212.13203435596427,2,0.42857142857142855,7,2445.2380952380954,1096.8268325169204,7,2014.2857142857144,1420.5967894146595,7,2552.3809523809523,1029.3574304277013,22,all
111_111_pomper_saffran_2016_42,111,pomper_saffran_2016,42,0.8350675254028618,0.22314414784206613,8,NA,NA,NA,1,0,8,1,0,3,1,0,4,183.75,47.32423621500228,4,0.375,8,2762.5000000000005,897.1626350059357,8,2762.5000000000005,897.1626350059357,8,2762.5000000000005,897.1626350059357,17,all
112_112_pomper_saffran_2016_43,112,pomper_saffran_2016,43,0.8002203502760328,0.1613697196519157,8,NA,NA,NA,1.125,0.3535533905932738,8,0.6,0.5477225575051661,5,1,0,3,590,565.1327277728658,3,0.875,8,2458.3333333333335,622.0166894101492,8,2008.3333333333335,1084.1937974717393,8,2570.8333333333335,482.8610171723971,18,all
113_113_pomper_saffran_2016_42,113,pomper_saffran_2016,42,0.8456734545670119,0.2607023579178603,8,NA,NA,NA,1.125,0.3535533905932738,8,0.6666666666666666,0.5773502691896257,3,1,0,3,573.3333333333334,480.4511768466525,3,0.5,8,2425,1010.0683616657317,8,2491.6666666666665,940.406869054602,8,2491.6666666666665,940.406869054602,17,all
114_114_pomper_saffran_2016_42,114,pomper_saffran_2016,42,0.8624967326362958,0.13173040256615864,8,NA,NA,NA,1,0,8,1,0,3,1,0,5,565,287.22813232690146,5,0.5,8,2987.5,491.8179751035139,8,2987.5,491.8179751035139,8,2987.5,491.8179751035139,17,all
115_115_pomper_saffran_2016_42,115,pomper_saffran_2016,42,0.7087555255072469,0.29185588461959183,8,NA,NA,NA,1.25,0.4629100498862757,8,0.5,0.5773502691896257,4,1,0,4,515,406.71447806374766,4,1,8,2210.416666666667,1298.37925525487,8,2204.166666666667,1319.6244655805417,8,2295.8333333333335,1196.0832242637132,17,all
116_116_pomper_saffran_2016_45,116,pomper_saffran_2016,45,0.8249305396372348,0.15557353591844955,8,NA,NA,NA,1,0,8,0.75,0.5,4,1,0,4,590,420.31734043061635,4,0.5,8,2787.5,634.944692004557,8,2608.3333333333335,1031.680706112642,8,2787.5,634.944692004557,20,all
117_117_pomper_saffran_2016_43,117,pomper_saffran_2016,43,0.6591396057661388,0.21736062783909404,8,NA,NA,NA,1.25,0.4629100498862757,8,0.5,0.7071067811865476,2,1,0,6,602.5,231.16552511133662,6,1.625,8,1837.5,1122.2408846475892,8,1841.6666666666667,1136.2357792429113,8,1883.3333333333335,1074.6723383993071,18,all
118_118_pomper_saffran_2016_42,118,pomper_saffran_2016,42,0.8790820217371113,0.15712072948091788,8,NA,NA,NA,1.125,0.3535533905932738,8,0.6666666666666666,0.5773502691896257,3,1,0,5,375,429.97092924987385,5,0.5,8,2689.5833333333335,868.0820630873376,8,2570.8333333333335,1109.044705469603,8,2808.3333333333335,709.0682462060882,17,all
119_119_pomper_saffran_2016_43,119,pomper_saffran_2016,43,0.7863002717154937,0.21202804037637435,8,NA,NA,NA,1.125,0.3535533905932738,8,0.5,0.5773502691896257,4,1,0,4,471.25,240.98322901535423,4,0.875,8,2587.5,941.9563397693898,8,2270.8333333333335,1257.1620218596922,8,2591.666666666667,931.929215923647,18,all
120_120_pomper_saffran_2016_42,120,pomper_saffran_2016,42,0.6296078682587677,0.18724332165994517,5,NA,NA,NA,1.2,0.44721359549995793,5,0.5,0.7071067811865476,2,1,0,3,648.3333333333334,267.31691553909064,3,1.2,5,1843.3333333333335,919.9637674024631,5,1760,1043.0723848324237,5,1926.6666666666667,821.0426974957581,17,all
121_121_pomper_saffran_2016_42,121,pomper_saffran_2016,42,0.7767285389677457,0.23174391826622356,7,NA,NA,NA,1.2857142857142858,0.4879500364742666,7,1,0,4,1,0,3,648.3333333333334,289.75564417856185,3,0.7142857142857143,7,2247.6190476190477,1074.9430894250384,7,2338.095238095238,964.063270443382,7,2338.095238095238,964.063270443382,17,all
122_122_pomper_saffran_2016_44,122,pomper_saffran_2016,44,0.837277547314669,0.11801816790769841,7,NA,NA,NA,1.1428571428571428,0.3779644730092272,7,1,0,2,1,0,4,527.5,252.07472437090289,4,0.8571428571428571,7,2633.3333333333335,741.8695103388267,7,2733.3333333333335,556.1108336107644,7,2733.3333333333335,556.1108336107644,19,all
123_123_pomper_saffran_2016_43,123,pomper_saffran_2016,43,0.6636907730815766,0.24708323304677948,7,NA,NA,NA,1.2857142857142858,0.4879500364742666,7,0.5,0.7071067811865476,2,1,0,5,590,331.19103248729425,5,1.2857142857142858,7,1909.5238095238096,1071.3377386541326,7,2004.7619047619048,1069.861287552351,7,2047.6190476190477,1003.4859874378552,18,all
124_124_pomper_saffran_2016_42,124,pomper_saffran_2016,42,0.8377494962015368,0.14410064645437318,8,NA,NA,NA,1.25,0.4629100498862757,8,0.5,0.7071067811865476,2,1,0,6,448.3333333333333,288.38631497813253,6,0.625,8,2545.8333333333335,1019.3660494921062,8,2158.3333333333335,1473.0111692590472,8,2700,775.6205912605092,17,all
125_125_pomper_saffran_2016_43,125,pomper_saffran_2016,43,0.8425766851767087,0.20186038618294855,8,NA,NA,NA,1.25,0.4629100498862757,8,1,0,3,0.8,0.44721359549995793,5,290,208.16659994661327,4,0.5,8,2508.3333333333335,1035.7881747042409,8,2383.3333333333335,1224.7448713915892,8,2633.3333333333335,868.4962373468951,18,all
126_126_pomper_saffran_2016_44,126,pomper_saffran_2016,44,0.7431532719222624,0.20098061179664375,8,NA,NA,NA,1.125,0.3535533905932738,8,0,0,2,1,0,6,348.3333333333333,255.27762664727723,6,1.125,8,2370.8333333333335,886.1254166133901,8,2087.5,1182.2681322390183,8,2395.8333333333335,839.20550106387725,19,all
127_127_pomper_saffran_2016_41,127,pomper_saffran_2016,41,0.8088921989632298,0.15034572902384363,8,NA,NA,NA,1.125,0.3535533905932738,8,0.75,0.5,4,1,0,4,671.25,282.38198124762374,4,0.875,8,2529.166666666667,687.4007864920154,8,2491.666666666667,769.4050474126922,8,2566.666666666667,612.8258770283412,16,all
128_128_pomper_saffran_2016_47,128,pomper_saffran_2016,47,0.8448647031628186,0.11321450319981176,7,NA,NA,NA,1.1428571428571428,0.3779644730092272,7,0.5,0.5773502691896257,4,1,0,3,565,392.9058411375428,3,0.8571428571428571,7,2647.6190476190477,722.356519870169,7,2414.285714285714,1091.6954437016498,7,2757.1428571428573,519.5134068473883,22,all
129_129_pomper_saffran_2016_45,129,pomper_saffran_2016,45,0.8848471187690115,0.17879683545156955,8,NA,NA,NA,1,0,8,0.5,0.5773502691896257,4,1,0,3,315,416.08292442733097,3,0.375,8,2895.8333333333335,713.4618264334665,8,2641.666666666667,1163.021516404167,8,2895.8333333333335,713.4618264334665,20,all
