recording_name,subject_id,dataset_name,age_months,mean_prop_looking,sd_prop_looking,n_trials_prop_looking,mean_prop_looking_diff,sd_prop_looking_diff,n_trials_prop_looking_diff,mean_number_fixations,sd_number_fixations,n_trials_number_fixations,mean_prop_shift_target_initial,sd_prop_shift_target_initial,n_trials_prop_shift_target_initial,mean_prop_shift_distractor_initial,sd_prop_shift_distractor_initial,n_trials_prop_shift_distractor_initial,mean_RT,sd_RT,n_trials_RT,total_aoi_switches,n_trials_total_aoi_switches,mean_duration_of_look,sd_duration_of_look,n_trials_duration_of_look,mean_first_look_dur,sd_first_look_dur,n_trials_first_look_dur,mean_longest_look,sd_longest_look,age_months_centred,data_split
21_casillas_tseltal_2015_26,21,casillas_tseltal_2015,26,0.16025641025641027,0.29061935741088996,12,NA,NA,NA,1,0,3,NA,NA,NA,0.25,0.45226701686664544,12,815,402.33692348577705,3,4,12,2640,174.35595774162695,3,2640,174.35595774162695,3,2640,174.35595774162695,1,distractor
22_casillas_tseltal_2015_36,22,casillas_tseltal_2015,36,0.24910938734468147,0.26698827543638226,12,NA,NA,NA,1,0,7,NA,NA,NA,0.4166666666666667,0.5149286505444373,12,735,464.4889664997437,5,8,12,1771.4285714285713,897.9129239784997,7,1771.4285714285713,897.9129239784997,7,1771.4285714285713,897.9129239784997,11,distractor
23_ronfard_2021_22,23,ronfard_2021,22,0.5786551283221649,0.30225686928045353,13,0.15277777777777773,0.2573238023600242,6,1,0,11,NA,NA,NA,0.8461538461538461,0.3755338080994054,13,501.3636363636364,226.4849984998003,11,10,13,1242.4242424242425,321.486446609395,11,1242.4242424242425,321.486446609395,11,1242.4242424242425,321.486446609395,-3,distractor
24_ronfard_2021_19,24,ronfard_2021,19,0.5458555333555334,0.3431903307941068,12,0.11781609195402298,0.30109129034378895,6,1,0,9,NA,NA,NA,0.9166666666666666,0.28867513459481287,12,528.6363636363636,468.28992573560083,11,6,12,1281.4814814814815,414.69905792270055,9,1190,486.3697724525606,10,1281.4814814814815,414.69905792270055,-6,distractor
25_ronfard_2021_20,25,ronfard_2021,20,0.441124821845416,0.4219740254393005,10,0.07327586206896551,0.14262338612614212,8,1,0,6,NA,NA,NA,0.7,0.48304589153964794,10,475.7142857142857,502.04937150500587,7,4,10,1238.888888888889,410.10387121458047,6,1238.888888888889,410.10387121458047,6,1238.888888888889,410.10387121458047,-5,distractor
27_ronfard_2021_19,27,ronfard_2021,19,0.568682500778089,0.1889418889259237,8,0.04885057471264364,0.16366702144710504,4,1,0,7,NA,NA,NA,1,0,8,552.5,205.72172605592382,8,7,8,1123.8095238095239,178.17416127494954,7,1020.8333333333334,334.7292201073142,8,1123.8095238095239,178.17416127494954,-6,distractor
28_ronfard_2021_18,28,ronfard_2021,18,0.41013435094317446,0.37337296760249955,12,-0.22629310344827588,0.18852523903990545,4,1,0,8,NA,NA,NA,0.6666666666666666,0.49236596391733095,12,546.25,395.45407896673487,8,6,12,1079.1666666666667,521.882277061706,8,1079.1666666666667,521.882277061706,8,1079.1666666666667,521.882277061706,-7,distractor
29_ronfard_2021_22,29,ronfard_2021,22,0.5011836047550333,0.3129278371277908,7,-0.13362068965517238,0.19321374108062347,4,1,0,5,NA,NA,NA,0.8571428571428571,0.3779644730092272,7,660.8333333333334,334.81960316962727,6,5,7,1213.3333333333335,315.8762064128569,5,1072.2222222222224,446.42613755950305,6,1213.3333333333335,315.8762064128569,-3,distractor
30_ronfard_2021_23,30,ronfard_2021,23,0.616828874887051,0.275272894392679,6,NA,NA,NA,1,0,5,NA,NA,NA,1,0,6,581.6666666666666,358.003724375413,6,5,6,1246.6666666666667,345.28571100209496,5,1088.888888888889,494.7127861100224,6,1246.6666666666667,345.28571100209496,-2,distractor
31_ronfard_2021_19,31,ronfard_2021,19,0.5694562033005429,0.32019768911037,8,0.3318965517241379,0.334170404905472,4,1,0,7,NA,NA,NA,0.875,0.3535533905932738,8,518.5714285714286,364.6998113256331,7,4,8,1176.1904761904761,424.1393401869012,7,1176.1904761904761,424.1393401869012,7,1176.1904761904761,424.1393401869012,-6,distractor
