recording_name,age_months,exp_to_target_lang,initial_look,samples_target,samples_distractor,mean_prop_looking,mean_prop_looking_diff,sd_prop_looking_diff,mean_number_fixations,total_aoi_switches,mean_duration_of_look,mean_peak_pupil_size_difference,mean_mean_pupil_size_difference,mean_peak_pupil_latency,mean_first_look_dur,exp_to_target_lang_centred,age_months_centred
CompMix36_S13_536412000_F2,40.43333333333333,70,distractor,368,214,0.6323024054982818,NA,NA,1.5,7,1185.4166666666667,0.09375,0.05412797619047616,395.5,1033.3333333333335,0.19999999999999996,15.43333333333333
CompMix36_S13_536412000_F2,40.43333333333333,70,target,115,32,0.782312925170068,NA,NA,1,1,1733.3333333333335,0.009999999999999787,0.026083333333333236,550,1716.6666666666667,0.19999999999999996,15.43333333333333
CompMix36_S13_536412000_F2,40.43333333333333,70,neither,56,24,0.7,NA,NA,2,2,433.33333333333337,NA,NA,NA,266.6666666666667,0.19999999999999996,15.43333333333333
CompMix36_S15_97932000_F2,39.46666666666667,45,distractor,134,125,0.5173745173745173,NA,NA,1,2,1833.3333333333335,-0.0024999999999999467,0.06308333333333338,266.5,283.33333333333337,-0.04999999999999999,14.466666666666669
CompMix36_S17_94332000_F2,38,40,target,759,238,0.7612838515546639,0.5576519916142558,0.3222843454870519,2.2857142857142856,8,830.1587301587302,0.14428571428571438,0.1056224489795918,413.85714285714283,942.8571428571429,-0.09999999999999998,13
CompMix36_S17_94332000_F2,38,40,distractor,127,32,0.7987421383647799,NA,NA,2,2,1058.3333333333335,0.040000000000000036,-0.024249999999999883,632,1083.3333333333335,-0.09999999999999998,13
CompMix36_S24_545388000_F2,41,40,distractor,223,240,0.4816414686825054,NA,NA,1,5,1238.888888888889,0.028333333333333172,-0.016833333333333478,171.66666666666666,883.3333333333334,-0.09999999999999998,16
CompMix36_S24_545388000_F2,41,40,neither,54,32,0.627906976744186,NA,NA,1,1,900.0000000000001,NA,NA,NA,900.0000000000001,-0.09999999999999998,16
CompMix36_S24_545388000_F2,41,40,target,388,89,0.8134171907756813,NA,NA,1.3333333333333333,4,1794.4444444444446,0.05333333333333353,-0.03788888888888886,255.33333333333334,1561.1111111111113,-0.09999999999999998,16
CompMix36_S30_109320000_F2,40.2,60,target,515,398,0.5640744797371303,0.14937106918238993,0.18751387134498826,1,5,1427.7777777777778,0.07416666666666687,0.04797222222222223,372,1427.7777777777778,0.09999999999999998,15.200000000000003
CompMix36_S30_109320000_F2,40.2,60,neither,98,38,0.7205882352941176,NA,NA,1,1,1450,0.04999999999999982,0.04791666666666661,317,1350,0.09999999999999998,15.200000000000003
CompMix36_S30_109320000_F2,40.2,60,distractor,56,86,0.39436619718309857,NA,NA,1,2,916.6666666666667,0.08000000000000007,0.05141666666666689,483,916.6666666666667,0.09999999999999998,15.200000000000003
CompMix36_S03_86508000_E1,43.2,30,target,404,192,0.6778523489932886,0.35534591194968557,0.040024912142634754,2.25,4,869.4444444444446,0.07374999999999987,0.06638433908045971,283,575,-0.2,18.200000000000003
CompMix36_S03_86508000_E1,43.2,30,distractor,529,80,0.8686371100164204,0.6320754716981132,0.08449703674556235,1.5,4,1866.6666666666667,0.09499999999999997,0.07974856321839086,324.75,1829.1666666666667,-0.2,18.200000000000003
CompMix36_S05_96120000_E1,46,40,distractor,332,87,0.7923627684964201,0.5471698113207548,0.1867829233322956,1,3,1827.7777777777778,0.1166666666666667,0.049777777777777775,400,1744.4444444444446,-0.09999999999999998,21
CompMix36_S05_96120000_E1,46,40,neither,183,102,0.6421052631578947,NA,NA,1,3,1516.6666666666667,0.1499999999999999,0.09841666666666637,508,1516.6666666666667,-0.09999999999999998,21
CompMix36_S05_96120000_E1,46,40,target,277,142,0.6610978520286396,NA,NA,2,5,863.888888888889,0.25000000000000017,0.11316666666666671,466.3333333333333,672.2222222222223,-0.09999999999999998,21
CompMix36_S06_93168000_E1,44.333333333333336,50,target,468,110,0.8096885813148789,0.4276729559748428,0.008894424920585502,1.25,2,1810.4166666666667,0.09124999999999994,0.05657122331691289,266.5,1737.5,0,19.333333333333336
CompMix36_S06_93168000_E1,44.333333333333336,50,distractor,204,111,0.6476190476190476,NA,NA,1,3,1675,0.17250000000000032,0.13445833333333335,499.5,1675,0,19.333333333333336
CompMix36_S26_83640000_E1,44,40,target,253,0,1,NA,NA,1.5,0,1716.6666666666667,0.18000000000000016,0.15445833333333336,341.5,1683.3333333333335,-0.09999999999999998,19
CompMix36_S26_83640000_E1,44,40,distractor,94,30,0.7580645161290323,NA,NA,4,1,354.1666666666667,0.1899999999999995,0.12233333333333274,599,666.6666666666667,-0.09999999999999998,19
CompMix36_S29_98280000_E1,40.43333333333333,20,distractor,512,122,0.807570977917981,NA,NA,1,4,2133.3333333333335,0.01625000000000021,-0.03183928571428574,220.75,2091.666666666667,-0.3,15.43333333333333
CompMix36_S29_98280000_E1,40.43333333333333,20,target,158,1,0.9937106918238994,NA,NA,1,0,2633.3333333333335,-0.33000000000000007,-0.31725000000000003,200,2633.3333333333335,-0.3,15.43333333333333
