recording_name,age_months,mean_prop_looking,sd_prop_looking,n_trials_prop_looking,mean_prop_looking_diff,sd_prop_looking_diff,n_trials_prop_looking_diff,mean_number_fixations,sd_number_fixations,n_trials_number_fixations,mean_prop_shift_target_initial,sd_prop_shift_target_initial,n_trials_prop_shift_target_initial,mean_prop_shift_distractor_initial,sd_prop_shift_distractor_initial,n_trials_prop_shift_distractor_initial,mean_RT,sd_RT,n_trials_RT,total_aoi_switches,n_trials_total_aoi_switches,mean_duration_of_look,sd_duration_of_look,n_trials_duration_of_look,mean_first_look_dur,sd_first_look_dur,n_trials_first_look_dur,mean_longest_look,sd_longest_look,age_months_centred
1811_garrison_bergelson_2020_14,14,0.5314132402612126,0.25097025759728914,15,0.027712264150943407,0.18780859600442587,8,1.2142857142857142,0.4258153136263201,14,0.25,0.4629100498862757,8,0.8571428571428571,0.3779644730092272,7,660.8333333333334,295.55738303528585,6,19,15,753.5714285714287,388.2449316914865,14,760.7142857142858,401.1525672027816,14,93.57142857142857,46.370936331539994,-11
1812_garrison_bergelson_2020_17,17,0.6164855353293767,0.29263501120785884,16,0.19675750585318827,0.3071292954085046,8,1.0625,0.25,16,0.5714285714285714,0.5345224838248488,7,1,0,8,452.5,295.8039891549808,8,16,16,905.2083333333334,489.3578085765209,16,909.375,488.0789534643087,16,109.125,58.569474415717046,-8
1813_garrison_bergelson_2020_12,12,0.6157008929197677,0.2892262347023179,15,0.22928339812900783,0.3447639969442532,8,1.3846153846153846,0.5063696835418333,13,0.375,0.5175491695067657,8,0.8,0.44721359549995793,5,471.25,330.64016190817875,4,18,15,762.8205128205128,427.6688450491116,13,788.4615384615385,419.7874580921993,13,97.6923076923077,49.563737778380904,-13
1814_garrison_bergelson_2020_12,12,0.6339420092152855,0.2879908595449529,16,0.3480045051418171,0.14385910346341607,8,1.5,0.6504436355879909,14,0.14285714285714285,0.3779644730092272,7,1,0,4,290,179.11821050170565,4,21,15,856.5476190476192,446.6300522142499,14,795.2380952380953,495.165886536275,14,110.42857142857143,49.83158449404166,-13
1815_garrison_bergelson_2020_14,14,0.6738153594771242,0.2881217251581739,14,0.32278949315575284,0.2685920293015214,8,1.0769230769230769,0.2773500981126146,13,0.7142857142857143,0.4879500364742666,7,0.8333333333333334,0.408248290463863,6,340,256.7829823021767,5,11,14,1075.6410256410256,411.67090554584314,13,1071.7948717948718,417.354133721559,13,129.53846153846155,48.76579297112438,-11
1819_garrison_bergelson_2020_13,13,0.3751962323390895,0.48777912680536145,14,-0.2581058168854882,0.4413628459705591,8,1,0,6,0.6,0.5477225575051661,5,0,0,6,NA,NA,NA,1,14,1083.3333333333335,611.6462303579669,6,1083.3333333333335,611.6462303579669,6,130,73.39754764295603,-12
1820_garrison_bergelson_2020_15,15,0.6899732679719203,0.21526911263873907,16,0.38207547169811323,0.1559765636226549,8,1.5,0.5163977794943222,16,0.25,0.4629100498862757,8,1,0,8,196.25,209.91069529683332,8,25,16,889.0625000000001,507.69740504811784,16,931.2500000000001,498.17723307629745,16,115.625,56.39015871586105,-10
1821_garrison_bergelson_2020_12,12,0.49470495745468,0.3334630484701091,15,-0.048938679245283015,0.19737279012840073,8,1.0833333333333333,0.28867513459481287,12,0.5,0.5477225575051661,6,0.6666666666666666,0.5,9,552.5,300.72828267391145,6,16,15,975.6944444444445,534.6274348625818,12,977.7777777777778,532.2590189932561,12,117.33333333333333,63.87108227919072,-13
1822_garrison_bergelson_2020_13,13,0.5819339265368271,0.40435453288956535,15,0.09987503520135171,0.35544421275592536,8,1.2727272727272727,0.46709936649691375,11,0.625,0.5175491695067657,8,0.42857142857142855,0.5345224838248488,7,556.6666666666666,177.3649721149397,3,13,14,800.7575757575758,468.7817329326231,11,801.5151515151515,474.30970575110206,11,100,54.26601146205606,-12
1823_garrison_bergelson_2020_14,14,0.4859089528136671,0.3460907033666409,12,-0.14865499312721056,0.41541210974743953,8,1.1,0.31622776601683794,10,0.2857142857142857,0.4879500364742666,7,0.6,0.5477225575051661,5,465,388.1043674065006,3,9,12,740.8333333333334,419.95829451958974,10,755.0000000000001,421.127968000344,10,90.6,50.53535616004128,-11
1824_garrison_bergelson_2020_15,15,0.7291680181391558,0.2815669022742137,16,0.4492924528301887,0.27783608055294184,8,1.25,0.44721359549995793,16,0.4,0.5477225575051661,5,1,0,10,285,238.57214143035785,10,15,16,1107.2916666666667,583.5465880033662,16,1067.7083333333335,635.7692555450416,16,140.875,64.63422725873137,-10
1825_garrison_bergelson_2020_12,12,0.6365676389019029,0.3497066235856722,13,0.2665724033705807,0.4289669837370979,8,1.2727272727272727,0.6466697906828632,11,0.7142857142857143,0.4879500364742666,7,0.6,0.5477225575051661,5,540,336.34060117684277,3,8,13,1067.4242424242425,547.8804429781919,11,1051.5151515151515,568.255348777415,11,130,63.71812928829596,-13
1826_garrison_bergelson_2020_12,12,0.5142803727565578,0.3607963991577489,16,0.024764150943396217,0.18956580795315411,8,1.0769230769230769,0.2773500981126146,13,0.8333333333333334,0.408248290463863,6,0.5,0.5270462766947299,10,710,606.0631155251077,5,11,16,1039.1025641025642,520.5653156552479,13,1075.6410256410256,512.0137885429646,13,129.07692307692307,61.44165462515575,-13
1827_garrison_bergelson_2020_14,14,0.4926904883707267,0.3931841877779986,14,0.03537735849056604,0.38188033684602474,6,1,0,11,0.6,0.5477225575051661,5,0.5,0.5345224838248488,8,740,398.4344362627307,4,10,14,1071.2121212121212,618.7393504848256,11,1071.2121212121212,618.7393504848256,11,128.54545454545453,74.24872205817907,-11
1828_garrison_bergelson_2020_16,16,0.5625702346770677,0.24317622013425425,14,0.1645047169811321,0.11875549543356753,8,1.7142857142857142,0.6112498455021266,14,0.1111111111111111,0.3333333333333333,9,1,0,5,395,215.34855467358028,5,29,14,596.2301587301588,432.176583322642,14,635.7142857142858,431.992854822654,14,80.14285714285714,51.413642521831086,-9
1829_garrison_bergelson_2020_15,15,0.6593788466362382,0.3432876958274101,14,0.37109818022476543,0.20111797724395097,8,1.0833333333333333,0.28867513459481287,12,0.625,0.5175491695067657,8,1,0,5,1005,454.69770177558627,5,10,14,1136.8055555555557,504.21779522031454,12,1148.611111111111,493.9767678120573,12,137.83333333333334,59.277212137446874,-10
1830_garrison_bergelson_2020_15,15,0.5601726721167422,0.2539757528477567,16,0.1143867924528302,0.23970898013720587,8,1.375,0.6191391873668903,16,0.2857142857142857,0.4879500364742666,7,1,0,9,670.5555555555555,370.97375618468993,9,28,16,788.8888888888889,472.8655748221178,16,789.5833333333334,468.918179706502,16,95.75,55.93269765232736,-10
1831_garrison_bergelson_2020_17,17,0.643579590004279,0.23747303232929198,15,0.24469339622641512,0.28750308180345346,8,1.4,0.50709255283711,15,0.3333333333333333,0.5163977794943222,6,1,0,9,159.44444444444446,113.72786719963484,9,19,15,866.6666666666667,499.8511683253231,15,872.2222222222223,497.48042422468495,15,107.46666666666667,57.113754493825326,-8
1832_garrison_bergelson_2020_18,18,0.7175485694270757,0.26149588543472135,16,0.39507891872278667,0.318287840429128,8,1.25,0.44721359549995793,16,0.5714285714285714,0.5345224838248488,7,0.875,0.3535533905932738,8,129.28571428571428,139.83408536037066,7,14,16,1036.4583333333335,588.8852856283893,16,1027.0833333333335,599.0694945156691,16,127.25,67.9838216048495,-7
1833_garrison_bergelson_2020_17,17,0.6967890256839698,0.13730645640345093,14,0.41568396226415094,0.1455059527179442,8,1.8571428571428572,0.7703288865196433,14,0.1111111111111111,0.3333333333333333,9,1,0,5,435,174.463463223679,5,31,14,781.7460317460318,454.76233094014174,14,767.8571428571429,479.737476541125,14,104,49.97230001941845,-8
1834_garrison_bergelson_2020_14,14,0.6418983340024087,0.21875252731609385,16,0.2818396226415094,0.2234012973399118,8,1.5625,0.51234753829798,16,0.2222222222222222,0.44095855184409843,9,1,0,7,250.71428571428572,219.78073488950625,7,24,16,755.7291666666667,421.9302947301973,16,753.125,452.65548791629686,16,102,50.82256716590902,-11
1835_garrison_bergelson_2020_13,13,0.489384350951209,0.3026164804479511,14,0.04422169811320756,0.13197766642400188,8,1.4545454545454546,0.5222329678670935,11,0,0,6,0.5714285714285714,0.5345224838248488,7,302.5,214.57321982639553,4,20,14,797.7272727272727,465.4909431791539,11,742.4242424242425,512.3130356185039,11,102.72727272727273,51.437517259469104,-12
