recording_name,age_months,exp_to_target_lang,initial_look,mean_prop_looking,sd_prop_looking,n_trials_prop_looking,mean_prop_looking_diff,sd_prop_looking_diff,n_trials_prop_looking_diff,mean_number_fixations,sd_number_fixations,n_trials_number_fixations,total_aoi_switches,n_trials_total_aoi_switches,mean_duration_of_look,sd_duration_of_look,n_trials_duration_of_look,mean_peak_pupil_size_difference,sd_peak_pupil_size_difference,n_trials_peak_pupil_size_difference,mean_mean_pupil_size_difference,sd_mean_pupil_size_difference,n_trials_mean_pupil_size_difference,mean_peak_pupil_latency,sd_peak_pupil_latency,n_trials_peak_pupil_latency,mean_first_look_dur,sd_first_look_dur,n_trials_first_look_dur,subject_id,prop_shift_distractor_initial,sd_prop_shift_distractor_initial,n_trials_prop_shift_distractor_initial,mean_prop_shift_target_initial,sd_prop_shift_target_initial,n_trials_prop_shift_target_initial,exp_to_target_lang_centred,age_months_centred
CompMix36_S28_502428000_F1,38,40,neither,0.5908230452674897,0.518479074533443,3,NA,NA,NA,1.5,0.7071067811865476,2,1,3,945.8333333333335,194.45436482630063,2,0.3800000000000001,0.09192388155425078,2,0.262844827586207,0.08180493968554714,2,574.5,82.73149339882606,2,1191.6666666666667,153.2064692570852,2,502428000,1,NA,1,NA,NA,NA,-0.09999999999999998,13
CompMix36_S28_502428000_F1,38,40,distractor,0.6811594202898551,NA,1,NA,NA,NA,1,NA,1,1,1,1450,NA,1,0.025000000000000355,NA,1,0.028583333333333183,NA,1,667,NA,1,1450,NA,1,502428000,1,NA,1,NA,NA,NA,-0.09999999999999998,13
CompMix36_S13_536412000_F2,40.43333333333333,70,distractor,0.6327758709357288,0.10098564902742029,4,NA,NA,NA,1.5,0.5773502691896257,4,7,4,1185.4166666666667,626.7337065204719,4,0.09375,0.07330018190063836,4,0.05412797619047616,0.040161068350981446,4,395.5,213.60009363293827,4,1033.3333333333335,486.6742769572396,4,536412000,1,0,4,0,NA,1,0.19999999999999996,15.43333333333333
CompMix36_S13_536412000_F2,40.43333333333333,70,target,0.782312925170068,NA,1,NA,NA,NA,1,NA,1,1,1,1733.3333333333335,NA,1,0.009999999999999787,NA,1,0.026083333333333236,NA,1,550,NA,1,1716.6666666666667,NA,1,536412000,1,0,4,0,NA,1,0.19999999999999996,15.43333333333333
CompMix36_S13_536412000_F2,40.43333333333333,70,neither,0.7,NA,1,NA,NA,NA,2,NA,1,2,1,433.33333333333337,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,266.6666666666667,NA,1,536412000,1,0,4,0,NA,1,0.19999999999999996,15.43333333333333
CompMix36_S15_97932000_F2,39.46666666666667,45,distractor,0.5037611940298508,0.5540339938084925,2,NA,NA,NA,1,NA,1,2,2,1833.3333333333335,NA,1,-0.0024999999999999467,0.03181980515339522,2,0.06308333333333338,0.0315841028929991,2,266.5,352.8462838120872,2,283.33333333333337,NA,1,97932000,0.5,0.7071067811865476,2,NA,NA,NA,-0.04999999999999999,14.466666666666669
CompMix36_S17_94332000_F2,38,40,target,0.7676834245959492,0.25691452120006586,7,0.5576519916142558,0.3222843454870519,6,2.2857142857142856,0.9511897312113419,7,8,7,830.1587301587302,297.2370564463114,7,0.14428571428571438,0.15519956430964862,7,0.1056224489795918,0.10198540555239356,7,413.85714285714283,134.587553376267,7,942.8571428571429,462.967195747846,7,94332000,1,NA,1,0.7142857142857143,0.4879500364742666,7,-0.09999999999999998,13
CompMix36_S17_94332000_F2,38,40,distractor,0.7987421383647799,NA,1,NA,NA,NA,2,NA,1,2,1,1058.3333333333335,NA,1,0.040000000000000036,NA,1,-0.024249999999999883,NA,1,632,NA,1,1083.3333333333335,NA,1,94332000,1,NA,1,0.7142857142857143,0.4879500364742666,7,-0.09999999999999998,13
CompMix36_S24_545388000_F2,41,40,distractor,0.47808686728818406,0.25624897276434877,3,NA,NA,NA,1,0,3,5,3,1238.888888888889,692.0848802578204,3,0.028333333333333172,0.04752192476461116,3,-0.016833333333333478,0.0329292170167061,3,171.66666666666666,173.33878196564476,3,883.3333333333334,104.08329997330664,3,545388000,1,0,3,0.6666666666666666,0.5773502691896257,3,-0.09999999999999998,16
CompMix36_S24_545388000_F2,41,40,neither,0.627906976744186,NA,1,NA,NA,NA,1,NA,1,1,1,900.0000000000001,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,900.0000000000001,NA,1,545388000,1,0,3,0.6666666666666666,0.5773502691896257,3,-0.09999999999999998,16
