recording_name,age_months,mean_prop_looking,sd_prop_looking,n_trials_prop_looking,mean_prop_looking_diff,sd_prop_looking_diff,n_trials_prop_looking_diff,mean_number_fixations,sd_number_fixations,n_trials_number_fixations,mean_prop_shift_target_initial,sd_prop_shift_target_initial,n_trials_prop_shift_target_initial,mean_prop_shift_distractor_initial,sd_prop_shift_distractor_initial,n_trials_prop_shift_distractor_initial,mean_RT,sd_RT,n_trials_RT,total_aoi_switches,n_trials_total_aoi_switches,mean_duration_of_look,sd_duration_of_look,n_trials_duration_of_look,mean_first_look_dur,sd_first_look_dur,n_trials_first_look_dur,mean_longest_look,sd_longest_look,age_months_centred
545_fmw_2013_19,19,0.5009535924861271,0.3150306337978259,28,-0.08716588050314464,0.3994662193383494,8,1.0869565217391304,0.2881040655200304,23,0.4166666666666667,0.5149286505444373,12,0.5833333333333334,0.5149286505444373,12,1000.7142857142857,339.6864800987887,7,21,28,886.2318840579711,440.253662358448,23,888.4057971014494,440.7705254738368,23,1789.8550724637682,862.2518546628736,-6
546_fmw_2013_19,19,0.4642429777714852,0.3642672518546205,29,-0.0710495283018868,0.4233597060187998,8,1.0454545454545454,0.21320071635561044,22,0.5,0.5222329678670935,12,0.5625,0.51234753829798,16,753.8888888888889,360.5792022719989,9,21,29,989.0151515151516,537.578506409204,22,981.0606060606061,545.2365986734095,22,1993.939393939394,1064.861387190734,-6
547_fmw_2013_25,25,0.6208787221750673,0.32474936682265126,31,0.20610587002096437,0.320874306687817,12,1.1111111111111112,0.32025630761017426,27,0.4,0.5163977794943222,10,0.8,0.41039134083406165,20,569.6875,322.51857181667333,16,22,31,1102.7777777777778,435.7857134351562,27,1095.679012345679,442.6897341213402,27,2238.2716049382716,837.2065733559442,0
548_fmw_2013_18,18,0.5120126954282176,0.36608478187836335,25,0.06574292452830187,0.20898474060200892,8,1,0,20,0.5333333333333333,0.5163977794943222,15,0.4444444444444444,0.5270462766947299,9,702.5,325,4,15,25,1053.3333333333335,535.4836039119027,20,1053.3333333333335,535.4836039119027,20,2106.666666666667,1070.9672078238054,-7
549_fmw_2013_18,18,0.41979371000339905,0.2936201484454796,27,-0.15526729559748426,0.12854812487724146,8,1.1363636363636365,0.35125008665710444,22,0.13333333333333333,0.3518657752744984,15,0.5454545454545454,0.5222329678670935,11,615,188.41443681416771,6,26,27,690.1515151515152,391.37219902823733,22,665.1515151515152,407.62926313209675,22,1430.3030303030305,795.0181583170739,-7
550_fmw_2013_23,23,0.6050185404804648,0.37641465061662255,22,0.317374213836478,0.3336969725324121,10,1.1111111111111112,0.3233808333817773,18,0.46153846153846156,0.5188745216627708,13,0.75,0.4629100498862757,8,594.1666666666666,285.66443017405345,6,16,22,1148.611111111111,598.3108712808171,18,1140.7407407407409,608.4702296202006,18,2312.962962962963,1178.5744623287278,-2
551_fmw_2013_18,18,0.46773861059575345,0.4759568067863504,17,-0.07370283018867926,0.0857518212772977,8,1,0,9,0.8571428571428571,0.3779644730092272,7,0.2222222222222222,0.44095855184409843,9,477.5,477.29707730091957,2,3,17,1444.4444444444446,440.2492980624097,9,1444.4444444444446,440.2492980624097,9,2888.888888888889,880.4985961248194,-7
552_fmw_2013_19,19,0.7200359908637379,0.4337425714235941,13,0.3610455974842767,0.37748943660580025,8,1,0,10,1,0,9,0.25,0.5,4,1440,NA,1,1,13,1495,372.68213709358537,10,1495,372.68213709358537,10,2990,745.3642741871707,-6
553_fmw_2013_24,24,0.7378425517934446,0.260686905500237,8,0.46226415094339623,0.06670818690439126,2,1.25,0.4629100498862757,8,0.75,0.5,4,1,0,4,740,450.92497528228944,4,7,8,1097.9166666666667,575.0905725767609,8,1064.5833333333335,610.5837370909907,8,2262.5,1097.3904833813135,-1
554_fmw_2013_18,18,0.7299182338742806,0.3075265789268438,28,0.4722877358490566,0.3209475526036321,8,1,0,26,0.8125,0.4031128874149275,16,0.6666666666666666,0.49236596391733095,12,711.875,312.66067298042367,8,14,28,1349.3589743589744,439.81007944669255,26,1349.3589743589744,439.81007944669255,26,2698.7179487179487,879.6201588933851,-7
