recording_name,age_months,exp_to_target_lang,fre_exp,eng_exp,subject_id,mean_prop_looking,sd_prop_looking,n_trials_prop_looking,mean_prop_looking_diff,sd_prop_looking_diff,n_trials_prop_looking_diff,mean_number_fixations,sd_number_fixations,n_trials_number_fixations,mean_prop_shift_target_initial,sd_prop_shift_target_initial,n_trials_prop_shift_target_initial,prop_shift_distractor_initial,sd_prop_shift_distractor_initial,n_trials_prop_shift_distractor_initial,mean_RT,sd_RT,n_trials_RT,total_aoi_switches,n_trials_total_aoi_switches,mean_duration_of_look,sd_duration_of_look,n_trials_duration_of_look,mean_peak_pupil_size_difference,sd_peak_pupil_size_difference,n_trials_peak_pupil_size_difference,mean_mean_pupil_size_difference,sd_mean_pupil_size_difference,n_trials_mean_pupil_size_difference,mean_peak_pupil_latency,sd_peak_pupil_latency,n_trials_peak_pupil_latency,mean_first_look_dur,sd_first_look_dur,n_trials_first_look_dur,exp_to_target_lang_centred,age_months_centred
LearnMix36_S29_98280000_F1,40.43333333333333,80,80,20,98280000,0.8037974683544304,0.14321149998714894,2,0.6037735849056605,1.1102230246251565e-16,2,1,0,2,1,NA,1,1,NA,1,253,NA,1,2,2,2116.666666666667,377.1236166328253,2,-0.07500000000000018,0.06363961030678918,2,-0.04011781609195397,0.020810884060093744,2,316.5,306.1772362537751,2,2033.3333333333335,259.2724864350675,2,0.30000000000000004,15.43333333333333
LearnMix36_S01_88272000_E1,46,35,65,35,88272000,0.562011837011837,0.4500118187507138,6,0.11530398322851156,0.4535320963501211,3,1,0,4,0.5,0.7071067811865476,2,0.6666666666666666,0.5773502691896257,3,335.5,94.04520189781083,2,3,6,2045.8333333333335,733.0018190063832,4,0.03749999999999994,0.038826537316634255,6,-0.006452020202020181,0.03637620384682098,6,272.1666666666667,188.9194713804447,6,2041.6666666666667,740.1826601389486,4,-0.15000000000000002,21
LearnMix36_S04_82812000_E1,39,30,70,30,82812000,0.7835459556006146,0.25482879339664016,6,0.5628930817610063,0.08805031446540879,3,1.1666666666666667,0.408248290463863,6,1,0,3,1,0,3,547.3333333333334,582.1961296104031,3,4,6,1934.7222222222224,877.7878867209744,6,0.09833333333333354,0.058708318547431235,6,0.05169444444444449,0.03771610570604578,6,463.6666666666667,197.69437692222473,6,1630.5555555555557,736.6905476269958,6,-0.2,14
LearnMix36_S21_503484000_E1,37,50,50,50,503484000,0.9716263440860216,0.05990403819973228,5,0.810272536687631,0.12361864140717461,3,1.6,0.8944271909999159,5,1,0,3,1,NA,1,53,NA,1,0,5,1623.8888888888891,997.3955281161898,5,0.09100000000000011,0.1024939022576466,5,-8.952380952381489e-4,0.04505948244949978,5,336.4,234.00491447830748,5,873.3333333333334,668.80905762075,5,0,12
LearnMix36_S25_93468000_E1,37,10,90,10,93468000,0.6852263996372778,0.126249190599241,6,0.34800838574423476,0.030864637032149814,3,1.5,0.5477225575051661,6,0.5,0.7071067811865476,2,1,0,2,294,152.73506473629428,2,9,6,1295.8333333333335,634.6422876970406,6,0.013333333333333345,0.2096822993642207,6,-0.06686542145593855,0.2100965435571639,6,330.3333333333333,208.18901668115603,6,811.1111111111112,352.7143425031188,6,-0.4,12
LearnMix36_S27_93396000_E1,43,70,30,70,93396000,0.7664440085231561,0.21495207860139667,4,0.4308176100628931,0.42226276455802525,3,1,0,4,0,0,2,1,0,2,120,70.71067811865476,2,3,4,1654.1666666666667,484.26634085892124,4,0.016250000000000098,0.17796886431807857,4,0.0012321428571427928,0.05717019889856332,4,349.25,272.0568261717884,4,1625,481.22143974897267,4,0.19999999999999996,18
LearnMix36_S28_502428000_E1,38,60,40,60,502428000,0.8752799669373741,0.15416300571216307,5,0.6624737945492662,0.05189473289092904,3,1.4,0.5477225575051661,5,1,NA,1,1,NA,1,186,NA,1,2,5,1486.6666666666667,457.52200918522925,5,0.08874999999999988,0.13683170928796706,4,0.026195075757575847,0.1355148954851069,4,287.5,205.83893379695365,4,1586.6666666666667,379.58310464683933,5,0.09999999999999998,13
LearnMix36_S07_535140000_F2,41.266666666666666,50,50,50,535140000,0.921344537815126,0.07596703725459399,5,0.5838574423480084,0.11256514682313457,3,1.8,0.8366600265340756,5,NA,NA,NA,1,NA,1,236,NA,1,1,5,726.1111111111111,246.51584478161857,5,0.27199999999999996,0.2089437723407906,5,0.10404563492063498,0.12794196440013988,5,173,74.05065833603372,5,703.3333333333334,348.2894709226157,5,0,16.266666666666666
LearnMix36_S14_94020000_F2,38,45,45,55,94020000,0.5507691012772763,0.3044349154550282,6,0.09329140461215933,0.27732449864675673,3,1,0,5,NA,NA,NA,0.6666666666666666,0.5773502691896257,3,461,11.313708498984761,2,7,6,1580,413.0509788284142,5,0.18500000000000005,0.10440306508910542,5,0.07978333333333332,0.09960900296771474,5,459.6,246.15198556989137,5,1130,782.7480082660348,5,-0.04999999999999999,13
LearnMix36_S20_85212000_F2,48,80,80,20,85212000,0.7881135315686804,0.0589794207271107,3,0.5660377358490567,0.017788849841170924,2,1,0,3,1,0,2,1,NA,1,369,NA,1,3,3,1955.5555555555557,157.5271875417536,3,0.04833333333333334,0.06525590650150627,3,0.02911111111111116,0.052837561169781014,3,272.3333333333333,277.2622104314494,3,1616.666666666667,636.6143084928094,3,0.30000000000000004,23
LearnMix36_S13_536412000_E2,40.43333333333333,40,70,40,536412000,0.5729107442406719,0.30004727004265924,3,0.24056603773584903,0.015565243611024668,2,1,0,3,1,NA,1,0.5,0.7071067811865476,2,852,NA,1,3,3,1311.1111111111113,617.8667002349773,3,0.0950000000000002,0.07211102550927985,3,0.04087547892720315,0.0968345713475494,3,333,288.85809664954866,3,1283.3333333333335,664.789022505971,3,-0.09999999999999998,15.43333333333333
LearnMix36_S15_97932000_E2,39.46666666666667,50,45,50,97932000,0.99609375,0.005524271728019903,2,0.5471698113207547,NA,1,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,1716.6666666666667,353.5533905932738,2,0.06000000000000005,NA,1,-0.03825000000000012,NA,1,383,NA,1,1658.3333333333335,388.90872965260115,2,0,14.466666666666669
LearnMix36_S17_94332000_E2,38,60,40,60,94332000,0.768955387306547,0.20522440659524271,6,0.5335429769392034,0.20729290059510477,3,1.3333333333333333,0.5163977794943222,6,0.5,0.7071067811865476,2,1,0,3,396.6666666666667,347.4785365074127,3,4,6,1601.388888888889,500.56680835791497,6,0.10083333333333326,0.09733533102972776,6,0.050175937766410904,0.07561948025613474,6,530.3333333333334,111.70616216962547,6,1791.6666666666667,415.4983620772636,6,0.09999999999999998,13
LearnMix36_S24_545388000_E2,41,60,40,60,545388000,0.7715273719072667,0.1443004779452384,2,0.23270440251572327,NA,1,2,1.4142135623730951,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,461.11111111111114,31.426968052735454,2,-0.030000000000000027,0.03535533905932756,2,-0.09412500000000001,0.07666216019364164,2,158.5,200.11121907579295,2,483.33333333333337,23.57022603955161,2,0.09999999999999998,16
LearnMix36_S30_109320000_E2,40.2,40,60,40,109320000,0.7019973949595103,0.2500973388767537,6,0.3857442348008386,0.1993902470126039,3,1,0,6,0.8,0.44721359549995793,5,NA,NA,NA,NA,NA,NA,5,6,1761.111111111111,685.9435242922835,6,0.029166666666666636,0.03992701675140111,6,0.0022102490421455436,0.032850818000226566,6,349.8333333333333,188.91523672448093,6,1761.111111111111,685.9435242922835,6,-0.09999999999999998,15.200000000000003
CogMisp24_S03_557712000,25,61,38,61,557712000,0.5886710810473454,0.3230189151738384,10,0.18946540880503143,0.15640166725183363,8,1.8888888888888888,0.6009252125773316,9,0.25,0.5,4,0.5,0.7071067811865476,2,321,NA,1,14,10,725.925925925926,281.44112161919696,9,0.3316666666666666,0.1985258169609181,9,0.25651206693831213,0.1736495163009283,9,388.8888888888889,126.5794655981416,9,448.1481481481482,167.79709233932175,9,0.10999999999999999,0
CogMisp24_S05_529728000,31,75,25,75,529728000,0.7038279934365853,0.2267752749623886,12,0.350104821802935,0.3281453652427359,12,1.75,0.621581560508061,12,0.5,0.5477225575051661,6,1,0,4,184.25,98.56427682820316,4,12,12,980.7870370370371,544.5996201420684,12,0.17700000000000005,0.1330872729535857,10,0.11523399761158379,0.10676498039697149,10,373.1,197.25868520521192,10,981.9444444444445,635.4215308639784,12,0.25,6
CogMisp24_S06_548532000,28,100,0,100,548532000,0.5440541809572295,0.21120916769779458,11,0.06666666666666667,0.29542942425049956,10,1.5,0.7071067811865476,10,0,0,4,1,0,6,568.6666666666666,228.36783194370145,6,16,11,853.6111111111112,507.4716943595295,10,0.13818181818181818,0.14414008337850942,11,0.08297727272727261,0.12734594773309593,11,442.1818181818182,203.3734585346958,11,644.4444444444445,545.8174297937605,9,0.5,3
CogMisp24_S18_554724000,29,95,5,95,554724000,0.7674426343160943,0.2401298757696469,11,0.3352201257861635,0.15496761187512872,10,1.5454545454545454,0.6875516509523286,11,0.3333333333333333,0.5773502691896257,3,1,0,5,148.6,78.78642014966793,5,8,11,952.5252525252525,466.56820149279355,11,0.08409090909090908,0.1325861640937353,11,0.0446963623282931,0.08978254019722103,11,405.6363636363636,183.51799515430235,11,1072.7272727272727,463.9966910366165,11,0.44999999999999996,4
CogMisp24_S23_529692000,31,99,1,99,529692000,0.5383731802783167,0.12788869552190277,11,0.07106918238993709,0.20728335943195866,10,1.4545454545454546,0.6875516509523286,11,0.25,0.5,4,1,0,6,466.1666666666667,486.96752116200383,6,18,11,975.7575757575759,482.3042859465633,11,0.234090909090909,0.1586004127015151,11,0.12077858126721773,0.0645730917269038,11,439.1818181818182,163.7558048936392,11,954.5454545454546,478.602764367911,11,0.49,6
