recording_name,trial_number,target_word,age_months,subject_id,media_name,initial_look,samples_target,samples_distractor,prop_looking,prop_looking_diff,number_fixations,correct_shift,remain_on_target,latency_to_switch,total_aoi_switches,duration_of_look,first_look_dur,longest_look_by_trial,age_months_centred
123_pomper_saffran_2016_43,10,white,43,123,white,target,74,27,0.7326732673267327,0.5188679245283019,1,NA,0,NA,1,1083.3333333333335,1083.3333333333335,2166.666666666667,18
123_pomper_saffran_2016_43,11,green,43,123,green,target,68,32,0.68,NA,1,NA,1,NA,1,1050,1050,2100,18
123_pomper_saffran_2016_43,13,brown,43,123,brown,target,82,19,0.8118811881188119,0.5188679245283019,2,NA,0,NA,2,683.3333333333334,783.3333333333334,1566.6666666666667,18
123_pomper_saffran_2016_43,14,blue,43,123,blue,target,63,35,0.6428571428571429,NA,1,NA,0,NA,1,1050,1050,2100,18
123_pomper_saffran_2016_43,16,black,43,123,black,target,106,0,1,NA,1,NA,1,NA,0,1766.6666666666667,1766.6666666666667,3533.3333333333335,18
124_pomper_saffran_2016_42,4,orange,42,124,orange,target,48,42,0.5333333333333333,NA,2,NA,0,NA,3,383.33333333333337,266.6666666666667,1000.0000000000001,17
124_pomper_saffran_2016_42,7,green,42,124,green,target,93,0,1,NA,2,NA,1,NA,0,775,800,1600,17
125_pomper_saffran_2016_43,9,white,43,125,white,target,106,0,1,NA,1,NA,1,NA,0,1766.6666666666667,1766.6666666666667,3533.3333333333335,18
125_pomper_saffran_2016_43,11,red,43,125,red,target,106,0,1,NA,1,NA,1,NA,0,1766.6666666666667,1766.6666666666667,3533.3333333333335,18
125_pomper_saffran_2016_43,15,black,43,125,black,target,106,0,1,NA,1,NA,1,NA,0,1766.6666666666667,1766.6666666666667,3533.3333333333335,18
126_pomper_saffran_2016_44,3,green,44,126,green,target,85,13,0.8673469387755102,NA,2,NA,0,NA,2,708.3333333333334,650,1533.3333333333335,19
126_pomper_saffran_2016_44,5,brown,44,126,brown,target,89,12,0.8811881188118812,NA,1,NA,0,NA,1,1300,1300,2600,19
126_pomper_saffran_2016_44,6,blue,44,126,blue,target,106,0,1,NA,1,NA,1,NA,0,1766.6666666666667,1766.6666666666667,3533.3333333333335,19
126_pomper_saffran_2016_44,8,black,44,126,black,target,64,39,0.6213592233009708,NA,1,NA,1,NA,1,1066.6666666666667,1066.6666666666667,2133.3333333333335,19
127_pomper_saffran_2016_41,10,red,41,127,red,target,74,26,0.74,NA,2,NA,0,NA,2,616.6666666666667,266.6666666666667,1933.3333333333335,16
128_pomper_saffran_2016_47,9,brown,47,128,brown,target,66,33,0.6666666666666666,0.17924528301886788,2,NA,0,NA,2,550,333.33333333333337,1533.3333333333335,22
128_pomper_saffran_2016_47,10,yellow,47,128,yellow,target,74,25,0.7474747474747475,NA,2,NA,0,NA,2,616.6666666666667,733.3333333333334,1466.6666666666667,22
128_pomper_saffran_2016_47,12,orange,47,128,orange,target,106,0,1,NA,1,NA,1,NA,0,1766.6666666666667,1766.6666666666667,3533.3333333333335,22
128_pomper_saffran_2016_47,13,white,47,128,white,target,53,47,0.53,0.18867924528301888,1,NA,0,NA,1,883.3333333333334,883.3333333333334,1766.6666666666667,22
128_pomper_saffran_2016_47,15,yellow,47,128,yellow,target,76,24,0.76,NA,1,NA,0,NA,1,1150,1150,2300,22
129_pomper_saffran_2016_45,3,yellow,45,129,yellow,target,73,25,0.7448979591836735,NA,1,NA,0,NA,1,1150,1150,2300,20
129_pomper_saffran_2016_45,4,white,45,129,white,target,78,0,1,0.48113207547169806,2,NA,1,NA,0,650,816.6666666666667,1633.3333333333335,20
129_pomper_saffran_2016_45,7,orange,45,129,orange,target,59,0,1,NA,1,NA,1,NA,0,983.3333333333334,983.3333333333334,1966.6666666666667,20
129_pomper_saffran_2016_45,8,brown,45,129,brown,target,39,27,0.5909090909090909,0.36792452830188677,1,NA,0,NA,1,650,650,1300,20
130_pomper_saffran_2016_44,12,brown,44,130,brown,target,106,0,1,NA,1,NA,1,NA,0,1766.6666666666667,1766.6666666666667,3533.3333333333335,19
130_pomper_saffran_2016_44,13,yellow,44,130,yellow,target,106,0,1,NA,1,NA,1,NA,0,1766.6666666666667,1766.6666666666667,3533.3333333333335,19
130_pomper_saffran_2016_44,14,green,44,130,green,target,75,27,0.7352941176470589,NA,2,NA,0,NA,2,625,483.33333333333337,1533.3333333333335,19
130_pomper_saffran_2016_44,16,blue,44,130,blue,target,105,0,1,NA,1,NA,1,NA,0,1750.0000000000002,1750.0000000000002,3500.0000000000005,19
131_pomper_saffran_2016_42,2,green,42,131,green,target,106,0,1,NA,1,NA,1,NA,0,1766.6666666666667,1766.6666666666667,3533.3333333333335,17
131_pomper_saffran_2016_42,3,black,42,131,black,target,106,0,1,1,1,NA,1,NA,0,1766.6666666666667,1766.6666666666667,3533.3333333333335,17
131_pomper_saffran_2016_42,6,yellow,42,131,yellow,target,106,0,1,1,1,NA,1,NA,0,1766.6666666666667,1766.6666666666667,3533.3333333333335,17
131_pomper_saffran_2016_42,8,white,42,131,white,target,95,7,0.9313725490196079,NA,1,NA,1,NA,0,1583.3333333333335,1583.3333333333335,3166.666666666667,17
132_pomper_saffran_2016_41,10,orange,41,132,orange,target,106,0,1,NA,1,NA,1,NA,0,1766.6666666666667,1766.6666666666667,3533.3333333333335,16
132_pomper_saffran_2016_41,11,yellow,41,132,yellow,target,106,0,1,NA,1,NA,1,NA,0,1766.6666666666667,1766.6666666666667,3533.3333333333335,16
132_pomper_saffran_2016_41,12,white,41,132,white,target,75,25,0.75,NA,1,NA,0,NA,1,1183.3333333333335,1183.3333333333335,2366.666666666667,16
133_pomper_saffran_2016_45,4,brown,45,133,brown,target,84,18,0.8235294117647058,NA,1,NA,0,NA,1,1283.3333333333335,1283.3333333333335,2566.666666666667,20
133_pomper_saffran_2016_45,6,green,45,133,green,target,78,18,0.8125,NA,1,NA,1,NA,1,1200,1200,2400,20
134_pomper_saffran_2016_44,13,red,44,134,red,target,55,49,0.5288461538461539,NA,1,NA,0,NA,1,916.6666666666667,916.6666666666667,1833.3333333333335,19
134_pomper_saffran_2016_44,16,brown,44,134,brown,target,67,32,0.6767676767676768,NA,2,NA,0,NA,2,558.3333333333334,616.6666666666667,1233.3333333333335,19
135_pomper_saffran_2016_46,1,red,46,135,red,target,79,0,1,NA,2,NA,1,NA,0,658.3333333333334,1066.6666666666667,2133.3333333333335,21
135_pomper_saffran_2016_46,4,white,46,135,white,target,55,0,1,0.169811320754717,1,NA,1,NA,0,750,750,1500,21
135_pomper_saffran_2016_46,7,brown,46,135,brown,target,61,37,0.6224489795918368,0.5754716981132075,2,NA,0,NA,2,508.33333333333337,400,1233.3333333333335,21
136_pomper_saffran_2016_42,1,red,42,136,red,target,82,16,0.8367346938775511,NA,2,NA,0,NA,2,683.3333333333334,400,1933.3333333333335,17
136_pomper_saffran_2016_42,2,orange,42,136,orange,target,92,10,0.9019607843137255,NA,1,NA,1,NA,0,1533.3333333333335,1533.3333333333335,3066.666666666667,17
136_pomper_saffran_2016_42,3,yellow,42,136,yellow,target,62,38,0.62,0.36792452830188677,2,NA,0,NA,2,516.6666666666666,800,1600,17
136_pomper_saffran_2016_42,5,black,42,136,black,target,70,23,0.7526881720430108,0.3018867924528302,2,NA,0,NA,2,583.3333333333334,600,1200,17
