recording_name,age_months,mean_prop_looking,sd_prop_looking,n_trials_prop_looking,mean_prop_looking_diff,sd_prop_looking_diff,n_trials_prop_looking_diff,mean_number_fixations,sd_number_fixations,n_trials_number_fixations,mean_prop_shift_target_initial,sd_prop_shift_target_initial,n_trials_prop_shift_target_initial,mean_prop_shift_distractor_initial,sd_prop_shift_distractor_initial,n_trials_prop_shift_distractor_initial,mean_RT,sd_RT,n_trials_RT,total_aoi_switches,n_trials_total_aoi_switches,mean_duration_of_look,sd_duration_of_look,n_trials_duration_of_look,mean_first_look_dur,sd_first_look_dur,n_trials_first_look_dur,mean_longest_look,sd_longest_look,age_months_centred
144_pomper_saffran_2016_46,46,1,NA,1,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,0,1,1766.6666666666667,NA,1,1766.6666666666667,NA,1,3533.3333333333335,NA,21
145_pomper_saffran_2016_47,47,0.8946384803921569,0.09627239527973198,4,0.5943396226415094,0.040024912142634754,2,2,0,4,0.5,0.5773502691896257,4,NA,NA,NA,NA,NA,NA,3,4,631.25,60.61986900776442,4,887.5,266.1018323596912,4,1816.6666666666667,471.79719434582546,22
146_pomper_saffran_2016_43,43,0.9094551282051282,0.10955023179943975,4,0.6603773584905661,0.04002491214263484,2,1.25,0.5,4,1,0,4,NA,NA,NA,NA,NA,NA,1,4,1183.3333333333335,392.75852538074747,4,1162.5,427.60638702225,4,2408.3333333333335,718.7308773623644,18
147_pomper_saffran_2016_46,46,1,NA,1,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,0,1,1766.6666666666667,NA,1,1766.6666666666667,NA,1,3533.3333333333335,NA,21
148_pomper_saffran_2016_44,44,0.7140522875816994,0.3304534054927563,4,NA,NA,NA,1.25,0.5,4,0.5,0.5773502691896257,4,NA,NA,NA,NA,NA,NA,3,4,1054.1666666666667,822.977318439984,4,1083.3333333333335,791.9736247011148,4,2166.666666666667,1583.9472494022295,19
149_pomper_saffran_2016_44,44,0.9296875,0.140625,4,1,0,2,1,0,4,0.75,0.5,4,NA,NA,NA,NA,NA,NA,1,4,1612.5,308.33333333333337,4,1612.5,308.33333333333337,4,3225,616.6666666666667,19
150_pomper_saffran_2016_43,43,0.9458762886597938,0.10824742268041238,4,0.7594339622641508,0.060037368213952134,2,1.25,0.5,4,0.75,0.5,4,NA,NA,NA,NA,NA,NA,2,4,1483.3333333333335,566.6666666666666,4,1512.5,508.33333333333337,4,3025,1016.6666666666667,18
151_pomper_saffran_2016_45,45,0.5902716138922314,0.08753125012253869,5,0.2735849056603773,0.0667081869043913,2,1.8,0.44721359549995793,5,0,0,5,NA,NA,NA,NA,NA,NA,10,5,531.6666666666667,248.49547279578357,5,516.6666666666667,320.3730464456848,5,1306.6666666666667,396.7926970654128,20
152_pomper_saffran_2016_46,46,0.5254854368932038,0.3175115400959012,2,NA,NA,NA,1,0,2,0,0,2,NA,NA,NA,NA,NA,NA,3,2,533.3333333333334,212.13203435596427,2,533.3333333333334,212.13203435596427,2,1066.6666666666667,424.26406871192853,21
153_pomper_saffran_2016_45,45,0.7059343434343435,0.340982128352694,4,0.4528301886792453,0.040024912142634754,2,1,0,4,0.5,0.5773502691896257,4,NA,NA,NA,NA,NA,NA,3,4,1212.5,644.2588334236826,4,1212.5,644.2588334236826,4,2425,1288.5176668473653,20
