recording_name,trial_number,target_word,age_months,subject_id,media_name,initial_look,samples_target,samples_distractor,prop_looking,prop_looking_diff,number_fixations,correct_shift,remain_on_target,latency_to_switch,total_aoi_switches,duration_of_look,first_look_dur,longest_look_by_trial,age_months_centred
3_casillas_tseltal_2015_22,14,karo,22,3,car,target,106,0,1,NA,1,NA,1,NA,0,1766.6666666666667,1766.6666666666667,4240,-3
3_casillas_tseltal_2015_22,22,tomut,22,3,egg,target,24,73,0.24742268041237114,NA,1,NA,0,NA,2,266.6666666666667,266.6666666666667,640,-3
3_casillas_tseltal_2015_22,25,ich,22,3,chile,target,106,0,1,NA,1,NA,1,NA,0,1766.6666666666667,1766.6666666666667,4240,-3
3_casillas_tseltal_2015_22,26,xila,22,3,chair,target,106,0,1,NA,1,NA,1,NA,0,1766.6666666666667,1766.6666666666667,4240,-3
3_casillas_tseltal_2015_22,30,bojch,22,3,bowl-tseltal,target,68,35,0.6601941747572816,NA,2,NA,0,NA,3,566.6666666666667,266.6666666666667,2080,-3
4_casillas_tseltal_2015_45,3,pelota,45,4,ball,target,37,61,0.37755102040816324,NA,2,NA,0,NA,1,308.33333333333337,316.6666666666667,760,20
4_casillas_tseltal_2015_45,6,nichim,45,4,flower,target,70,29,0.7070707070707071,NA,2,NA,0,NA,3,583.3333333333334,233.33333333333334,2240,20
4_casillas_tseltal_2015_45,12,ja',45,4,water,target,42,63,0.4,NA,1,NA,0,NA,1,700,700,1680,20
4_casillas_tseltal_2015_45,14,karo,45,4,car,target,90,0,1,NA,1,NA,1,NA,0,1416.6666666666667,1416.6666666666667,3400,20
4_casillas_tseltal_2015_45,15,na,45,4,house,target,87,10,0.8969072164948454,NA,1,NA,0,NA,0,1200,1200,2880,20
4_casillas_tseltal_2015_45,21,tz'i,45,4,dog,target,70,30,0.7,NA,2,NA,0,NA,2,583.3333333333334,766.6666666666667,1840,20
4_casillas_tseltal_2015_45,25,ich,45,4,chile,target,83,21,0.7980769230769231,NA,1,NA,1,NA,1,1383.3333333333335,1383.3333333333335,3320,20
4_casillas_tseltal_2015_45,26,xila,45,4,chair,target,32,72,0.3076923076923077,NA,1,NA,0,NA,1,533.3333333333334,533.3333333333334,1280,20
4_casillas_tseltal_2015_45,28,machit,45,4,machete,target,22,82,0.21153846153846154,NA,1,NA,0,NA,1,366.6666666666667,366.6666666666667,880,20
4_casillas_tseltal_2015_45,29,si',45,4,firewood,target,96,8,0.9230769230769231,NA,1,NA,1,NA,0,1600,1600,3840,20
5_casillas_tseltal_2015_27,1,wa,27,5,tortilla,target,106,0,1,NA,1,NA,1,NA,0,1766.6666666666667,1766.6666666666667,4240,2
5_casillas_tseltal_2015_27,2,moch,27,5,basket-tseltal,target,50,53,0.4854368932038835,NA,2,NA,0,NA,2,416.66666666666674,616.6666666666667,1480,2
5_casillas_tseltal_2015_27,3,pelota,27,5,ball,target,106,0,1,NA,1,NA,1,NA,0,1766.6666666666667,1766.6666666666667,4240,2
5_casillas_tseltal_2015_27,6,nichim,27,5,flower,target,79,24,0.7669902912621359,NA,2,NA,0,NA,2,658.3333333333334,716.6666666666667,1720,2
5_casillas_tseltal_2015_27,11,xawin,27,5,cat,target,41,61,0.4019607843137255,NA,1,NA,0,NA,1,616.6666666666667,616.6666666666667,1480,2
5_casillas_tseltal_2015_27,12,ja',27,5,water,target,106,0,1,NA,1,NA,1,NA,0,1766.6666666666667,1766.6666666666667,4240,2
